field_name,display_name,required,ix,dtype,list,ref_target,notes
name_text,プラン名,true,false,text,false,,
default_boolean,デフォルトフラグ,false,false,boolean,false,,
for_simulation_boolean,シミュレーション用,false,false,boolean,false,,
a_hour_price_number,時間単価,false,false,number,false,,
a_day_price_number,日単価,false,false,number,false,,
a_week_price_number,週単価,false,false,number,false,,
a_month_price_number,月単価,false,false,number,false,,
two_weeks_price_number,2週間単価,false,false,number,false,,
three_weeks_price_number,3週間単価,false,false,number,false,,
four_weeks_price_number,4週間単価,false,false,number,false,,
14____________number,14日〜単価,false,false,number,false,,
30____________number,30日〜単価,false,false,number,false,,
_7____________number,7日〜単価,false,false,number,false,,
more_a_day_price_number,追加日単価,false,false,number,false,,
more_a_hour_number,追加時間単価,false,false,number,false,,
tax_percent_number,税率,false,false,number,false,,
shop_user,所属ショップ,true,false,ref,false,user,
