field_name,display_name,required,ix,dtype,list,ref_target,notes
____date,貸出日,true,false,date,false,,
___1_date,返却日,true,false,date,false,,
_____number,合計金額,false,false,number,false,,
____1_number,金額①,false,false,number,false,,
____2_number,金額②,false,false,number,false,,
____custom_bicycle,自転車,true,false,ref,false,bicycle,
price_menu_custom_price_menu,料金プラン,false,false,ref,false,price_menu,
______custom______,乗車人情報参照,false,false,ref,false,booking_customer,
_____custom_____,予約情報参照,false,false,ref,false,reservation,
__________list_custom__________1,オプション価格リスト,false,false,ref,true,option_price,
___user,ユーザー,false,false,ref,false,user,
