物理名,必須,index,データ型,List,バリデーション,備考
14日間プラン料金,,,number,,,
1日プラン料金,,,number,,,
2日間プラン料金,,,number,,,
30日間プラン料金,,,number,,,
3日間プラン料金,,,number,,,
4時間プラン料金,,,number,,,
7日間プラン料金,,,number,,,
_____14__29_,,,number,,,
_____7__13_,,,number,,,
0_is_ebike,,,boolean,,,
0_is_is_archive,,,boolean,,,
1______,,,number,,,
14__29_,,,number,,,
7__13_,,,number,,,
a_day_price,,,number,,,
a_hour_price,,,number,,,
a_month_price,,,number,,,
a_week_price,,,number,,,
brand_name,,,text,,,
color,,,text,,,
comment,,,text,,,
four_weeks_price,,,number,,,
images_list,,,image,✓,,
max_date,,,number,,,
more_a_day_price,,,number,,,
more_a_hour_price,,,number,,,
name,✓,,text,,,
no,,✓,number,,,
serial_number,,✓,text,,,
size,,,text,,,
tax_percent,,,number,,,
three_weeks_price,,,number,,,
two_weeks_price,,,number,,,
w_op_Bicycle Category,,,リレーション,,,Bicycle Category
w_op_貸し出し可能ステータス,,,リレーション,,,貸し出し可能ステータス
w_price_menu,,,リレーション,,,→ price_menu
w_user,✓,,リレーション,,,→ user
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,






















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































