物理名,必須,index,データ型,List,バリデーション,備考
name,✓,,text,,,
default,,,boolean,,,
for_simulation,,,boolean,,,
a_hour_price,,,number,,,
a_day_price,,,number,,,
a_week_price,,,number,,,
a_month_price,,,number,,,
two_weeks_price,,,number,,,
three_weeks_price,,,number,,,
four_weeks_price,,,number,,,
14___________,,,number,,,
30___________,,,number,,,
_7___________,,,number,,,
more_a_day_price,,,number,,,
more_a_hour,,,number,,,
tax_percent,,,number,,,
shop,✓,,リレーション,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,






















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































