物理名,必須,index,データ型,List,バリデーション,備考
name,✓,,text,,,
description,,,text,,,
max_number,,,number,,,
is_archive,,,boolean,,,
a_hour_price,,,number,,,
a_day_price,,,number,,,
a_week_price,,,number,,,
a_month_price,,,number,,,
two_weeks_price,,,number,,,
four_weeks_price,,,number,,,
tax_percent,,,number,,,
parent_option_custom,,,リレーション,,,
bicycles_list_custom_bicycle,,,リレーション,✓,,
shop,✓,,リレーション,,,
7_______,,,number,,,
14_______,,,number,,,
30_______,,,number,,,
_____1___,,,number,,,
_____1____,,,number,,,
_____1____1,,,number,,,
_____1____2,,,number,,,
_______1___,,,number,,,
_______1____,,,number,,,
_____7_______,,,number,,,
_____14_______,,,number,,,
_____30_______,,,number,,,
more_a_day_price,,,number,,,
more_a_hour_price,,,number,,,
three_weeks_price,,,number,,,
________option____________,,,リレーション,,,貸し出し可能ステータス
number0_list_custom________,,,リレーション,✓,,
number1_list_custom________,,,リレーション,✓,,
number2_list_custom________,,,リレーション,✓,,
number3_list_custom________,,,リレーション,✓,,
number4_list_custom________,,,リレーション,✓,,
number5_list_custom________,,,リレーション,✓,,
number1_custom________,,,リレーション,,,
number2_custom________,,,リレーション,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,






















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































