物理名,必須,index,データ型,List,バリデーション,備考
____1_text,,,text,,,
name_text,,,text,,,
name_kana_text,,,text,,,
shop_name_text,,,text,,,
shop_address_text,,,text,,,
shop_access_text,,,text,,,
shop_comment_text,,,text,,,
business_hour_text,,,text,,,
address_text,,,text,,,
contact_mail_text,,,text,,,
hp_text,,,text,,,
phone_text,,,text,,,
post_number_number,,,number,,,
birth_date,,,Date,,,
last_visit_date,,,Date,,,
image_image,,,image,,,
cus_id_text,,,text,,,
shop_pay_real_text,,,text,,,⚠️ ハードコードリスク
user_id_payjp_text,,,text,,,
tenant_id_text,,,text,,,
tall_number,,,number,,,
_______number,,,number,,,
0_is_shop_onboading_boolean,,,boolean,,,
0_is_is____boolean,,,boolean,,,
w_reservation,,,リレーション,,,→ reservation
w_prefecture,,,リレーション,,,→ prefecture
w_op_Rights,,,リレーション,,,Rights
w_op_brand_status,,,リレーション,,,brand_status
w_op_支払い方法,,,リレーション,✓,,支払い方法
____text,,,text,,,
_____text,,,text,,,
phone1_text,,,text,,,
car_id_text,,,text,,,
0_is_archive_boolean,,,boolean,,,
0_is_is__________boolean,,,boolean,,,
address,,,text,,,
pay_jp_apply_form_url_text,,,text,,,
w_user,,,リレーション,,,→ user
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,






















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































