table,field_name,field_key,reads,writes,searches,unused,contexts,ambiguity
access_log,date,date_date,18,4,8,,api:bTaDz; api:営業カレンダーデフォルト作成_list; api:営業カレ作成2_リカーリング; api:営業日付_初期登録_list; page:admin; page:admin_update_calendar; page:index; page:shop_admin,"キー共有: 手数料月ごと, Holidays, 日付データ 追加用, 日付データ defaults"
access_log,ip,ip_text,0,4,4,,page:index,
Banner,content,content_text,4,3,0,,page:admin; page:index,キー共有: News
Banner,external url,external_url_text,16,4,0,,page:admin; page:index,"キー共有: FV, News"
Banner,image,image_image,14,7,0,,page:admin; page:index; page:search; page:shop_admin; page:shop_detail,"キー共有: FV, User"
Banner,page,page_boolean,9,12,0,,page:admin; page:index,"キー共有: FV, News"
Banner,page content,page_content_text,13,4,0,,page:admin; page:index; page:shop_admin,"キー共有: FV, News"
Banner,title,title_text,22,5,0,,page:admin; page:index; page:search; page:shop_admin,"キー共有: FV, Q&A, News, Q&A Category"
Bicycle,14日間プラン料金,7__13__number,12,2,0,,api:自転車詳細情報の変更; page:index; page:shop_admin; page:shop_detail,
Bicycle,1日プラン料金,1_______number,12,2,0,,api:自転車詳細情報の変更; page:index; page:shop_admin; page:shop_detail,
Bicycle,2日間プラン料金,a_day_price_number,1096,7,0,,api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; page:admin; page:admin_price_simulation; page:index; page:shop_admin; page:shop_detail,"キー共有: Price_Menu, Sub_Option"
Bicycle,30日間プラン料金,14__29__number,12,2,0,,api:自転車詳細情報の変更; page:index; page:shop_admin; page:shop_detail,
Bicycle,3日間プラン料金,a_week_price_number,410,7,0,,api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; page:admin; page:admin_price_simulation; page:index; page:shop_admin; page:shop_detail,"キー共有: Price_Menu, Sub_Option"
Bicycle,4時間プラン料金,a_hour_price_number,103,7,0,,api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; page:admin; page:admin_price_simulation; page:index; page:shop_admin; page:shop_detail,"キー共有: Price_Menu, Sub_Option"
Bicycle,7日間プラン料金,a_month_price_number,808,7,0,,api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; page:admin; page:admin_price_simulation; page:index; page:shop_admin; page:shop_detail,"キー共有: Price_Menu, Sub_Option"
Bicycle,Bicycle Category,bicycle_category_option_bicycle_category,24,2,0,,page:admin; page:index; page:shop_admin; page:shop_detail,
Bicycle,Brand name,brand_name_text,26,2,0,,page:admin; page:index; page:shop_admin; page:shop_detail,
Bicycle,color,color_text,17,2,0,,page:admin; page:index; page:shop_admin; page:user_reservation_list,
Bicycle,comment,comment_text,4,2,0,,page:admin; page:index; page:shop_admin,
Bicycle,ebike,ebike_boolean,9,2,2,,page:admin; page:index; page:shop_admin; page:shop_detail,
