table,field_name,field_key,reads,writes,searches,unused,contexts,ambiguity
12_holidays,date,date_date,4,0,16,,elem:  r_shop_option; elem:r_admin_reservation; page:admin_update_calendar; page:bicycle_detail,"キー共有: sales_record, 自転車例外日, オプション例外日, 26_holiday_master, __access_log, m_holiday"
20_business_hour, __加盟店,____user,10,0,28,,page:legal; page:mypage,キー共有: shop_holiday
20_business_hour,__endTime,endtime_option_time,8,0,0,,page:legal; page:mypage,キー共有: shop_holiday
20_business_hour,__startTime,starttime_option_time,12,0,0,,page:legal; page:mypage,キー共有: shop_holiday
20_business_hour,__営業状態,_____option_____op,32,1,16,,elem:r_shop_calendar; elem:shop; page:legal; page:mypage; page:search,キー共有: shop_holiday
20_business_hour,__曜日,___option___,0,0,0,未使用,,
26_holiday_master,__date,date_date,4,0,16,,elem:  r_shop_option; elem:r_admin_reservation; page:admin_update_calendar; page:bicycle_detail,"キー共有: sales_record, 自転車例外日, 12_holidays, オプション例外日, __access_log, m_holiday"
26_holiday_master,__holiday,hliday_boolean,0,0,0,未使用,,
__access_log,__date,date_date,4,8,32,,elem:  r_shop_option; elem:r_admin_reservation; page:admin_update_calendar; page:bicycle_detail; page:legal; page:mypage,"キー共有: sales_record, 自転車例外日, 12_holidays, オプション例外日, 26_holiday_master, m_holiday"
__access_log,__ip,ip_text,0,8,8,,page:legal; page:mypage,
__Prefecture,__index,index_number,9,4,4,,api:bulk_create_shop; elem:r_admin_faq; page:legal; page:mypage,"キー共有: FAQ, q&a_category"
__Prefecture,__name,name_text,269,11,3,,api:bulk_update_bicyle; api:cancel_reservation; api:change_shop_info; api:create_user_info; api:edit_bicycle; api:payjp_webhook_update_talent; elem:  r_shop_option; elem:bicycle_item; elem:cart; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_admin_sales; elem:r_admin_shop_list; elem:r_shop_bicycle; elem:r_shop_info; elem:search_area; elem:shop; elem:user_reservation_detail; elem:userinfo; page:bicycle_detail; page:legal; page:mypage; page:shop_detail; page:user_reservation_list,"キー共有: shop, User, rider_info, Bicycle, Price_menu, Sub_Option"
__Prefecture,__Shop,shop_user,117,0,10,,page:legal; page:mypage; privacy:notification,"キー共有: sales_record, Bicycle, Price_menu, Sub_Option, notification"
__Prefecture,__Shoplist,shoplist_list_user,0,0,0,未使用,,
Banner,__page,page_boolean,8,4,0,,elem:r_admin_news; page:legal; page:mypage,"キー共有: FV, News"
Banner,content,content_text,1,2,0,,elem:r_admin_topic,キー共有: News
Banner,external_url,external_url_text,31,4,0,,elem:news; elem:r_admin_fv; elem:r_admin_news; elem:r_admin_topic; page:index; page:legal; page:mypage,"キー共有: FV, News"
Banner,image,image_image,21,4,0,,api:bulk_create_shop; api:change_shop_info; elem:r_admin_fv; elem:r_admin_topic; elem:r_shop_info; elem:shop; elem:topic; page:index; page:legal; page:mypage; page:shop_detail,"キー共有: FV, shop, User"
Banner,page_content,page_content_text,24,4,0,,elem:news; elem:r_admin_fv; elem:r_admin_news; elem:r_admin_topic; elem:topic; page:index; page:legal; page:mypage,"キー共有: FV, News"
Banner,title,title_text,22,4,0,,elem:faq; elem:news; elem:r_admin_faq; elem:r_admin_fv; elem:r_admin_news; elem:r_admin_topic; elem:topic; page:index; page:legal; page:mypage,"キー共有: FV, FAQ, News, q&a_category"
Bicycle,__four weeks price,four_weeks_price_number,0,1,0,,elem:  r_shop_option,"キー共有: Price_menu, Sub_Option"
Bicycle,__is_archive,is_archive_boolean,0,0,0,未使用,,
Bicycle,__Shop,shop_user,117,0,2,,page:legal; page:mypage; privacy:notification,"キー共有: sales_record, __Prefecture, Price_menu, Sub_Option, notification"
Bicycle,__three weeks price,three_weeks_price_number,0,0,0,未使用,,
Bicycle,__two weeks price,two_weeks_price_number,0,0,0,未使用,,
Bicycle,__（税抜き）14日間プラン料金,_____7__13__number,0,0,0,未使用,,
Bicycle,__（税抜き）1日プラン料金,_____1_______number,0,0,0,未使用,,
Bicycle,__（税抜き）2日間プラン料金,_____1____1_number,0,0,0,未使用,,
Bicycle,__（税抜き）30日間プラン料金,_____14__29__number,0,0,0,未使用,,
Bicycle,__（税抜き）3日間プラン料金,_____1____number,0,0,0,未使用,,
Bicycle,__（税抜き）4時間プラン料金,_____1_____number,0,0,0,未使用,,
Bicycle,__（税抜き）7日間プラン料金,_____1____2_number,0,0,0,未使用,,
Bicycle,__（税抜き）延長1日料金,_______1____number,0,0,0,未使用,,
