no,type,name,description
01,datatype,12_holidays,祝日マスタ。貸出不可日の管理に使用（旧: Holidays）
02,datatype,20_business_hour,【旧残骸】曜日別営業時間（shopのbusiness_hour_*へ統合・削除予定）
03,datatype,26_holiday_master,【旧残骸】祝日マスタ追加用（削除予定）
04,datatype,__access_log,【旧残骸】アクセスログ（GA移行につき削除予定）
05,datatype,__Prefecture,【旧残骸】都道府県マスタ（option set Prefectureへ移行・削除予定）
06,datatype,__銀行口座,【旧残骸】銀行口座（フィールドなし・削除予定）
07,datatype,Banner,バナー広告。トップページ等に表示する画像+リンク
08,datatype,Bicycle,自転車情報。加盟店が登録する貸出可能な自転車。バルク処理・表示順・対応オプションを追加
09,datatype,contact,お問い合わせ。ユーザーからの問い合わせフォームデータ（旧: お問い合わせ履歴）
10,datatype,contact_type,お問い合わせ種別マスタ。種別の内容と対象者（権限）を定義（旧: お問い合わせ種別）
11,datatype,FAQ,よくある質問と回答。カテゴリに紐づく（旧: Q&A。title廃止）
12,datatype,FV,ファーストビュー。トップページのヒーロー画像・リンク
13,datatype,log,API・Webhookログ。イベント種別/WF名/ステータス/エラー有無を記録（旧: Webhook_Event を拡張）
14,datatype,m_holiday,【旧残骸】祝日デフォルト設定（旧: 日付データ Defaults・削除予定）
15,datatype,maintenance,メンテナンス表示用フラグ（旧: 工事中の後継）
16,datatype,News,お知らせ。管理者・運営からユーザーへの通知
17,datatype,notification,ショップ通知。お問い合わせ・請求・キャンセル等の通知（旧: 管理者/運営_news）
18,datatype,Price_menu,料金プラン（シミュレーション用サンプル価格）。旧Price_Menu。※単価ラベルの割当は検討資料（Allシート）準拠・旧資料と割当が異なるため要確認
19,datatype,q&a_category,FAQカテゴリ。FAQの分類に使用（旧: Q&A Category）
20,datatype,reservation,予約情報。貸出・返却・決済の中心テーブル（旧: 予約情報）
21,datatype,reservation_detail,予約明細。予約ごとの自転車・料金・金額詳細（旧: 自転車予約詳細）
22,datatype,reservation_option,オプション価格。予約時にsub_optionの価格をスナップショット保存（旧: オプション予約詳細）
23,datatype,rider_info,予約顧客情報。予約した顧客の氏名・連絡先。会員はUser紐付け（旧: 乗車人情報）
24,datatype,sales_record,売上記録。月次集計・振込処理用（旧: 手数料月ごと）
