field_name,display_name,required,ix,dtype,list,ref_target,notes
__four weeks price,4週間単価,false,false,number,false,,
__is_archive,アーカイブ済み,false,false,boolean,false,,
__Shop,所属ショップ,true,false,ref,false,User,
__three weeks price,3週間単価,false,false,number,false,,
__two weeks price,2週間単価,false,false,number,false,,
__（税抜き）14日間プラン料金,（税抜き）14日間プラン料金,false,false,number,false,,
__（税抜き）1日プラン料金,（税抜き）1日プラン料金,false,false,number,false,,
__（税抜き）2日間プラン料金,（税抜き）2日間プラン料金,false,false,number,false,,
__（税抜き）30日間プラン料金,（税抜き）30日間プラン料金,false,false,number,false,,
__（税抜き）3日間プラン料金,（税抜き）3日間プラン料金,false,false,number,false,,
__（税抜き）4時間プラン料金,（税抜き）4時間プラン料金,false,false,number,false,,
__（税抜き）7日間プラン料金,（税抜き）7日間プラン料金,false,false,number,false,,
__（税抜き）延長1日料金,（税抜き）延長1日料金,false,false,number,false,,
__（税抜き）延長1時間料金,（税抜き）延長1時間料金,false,false,number,false,,
Brand name,ブランド名,false,false,text,false,,
category,自転車カテゴリ,false,false,option,false,,Bicycle Category
category_order,カテゴリ内表示順,false,false,number,false,,
color,カラー,false,false,text,false,,
comment,コメント,false,false,text,false,,
deleted_at,削除日,false,false,date,false,,
ex_1day_intax,延長日単価,false,false,number,false,,
ex_1hour_intax,延長時間単価,false,false,number,false,,
images,画像,false,false,image,true,,
is_bulk,バルク処理対象フラグ,false,false,boolean,false,,
is_ebike?,電動アシスト,false,false,boolean,false,,
name,自転車名,true,false,text,false,,
No,管理番号,false,true,number,false,,
price_14day_intax,14日間プラン料金,false,false,number,false,,
price_1day_intax,1日プラン料金,false,false,number,false,,
price_2day_intax,2日間プラン料金,false,false,number,false,,
price_30day_intax,30日間プラン料金,false,false,number,false,,
price_3day_intax,3日間プラン料金,false,false,number,false,,
price_4hour_intax,4時間プラン料金,false,false,number,false,,
price_7day_intax,7日間プラン料金,false,false,number,false,,
Price_Menu,料金プラン,false,false,ref,false,Price_menu,
rental_max_days,最大貸出日数,false,false,number,false,,
rental_status,貸出ステータス,false,false,option,false,,貸し出し可能ステータス
search_free_word,検索用フリーワード,false,false,text,false,,
serial_no,シリアル番号,false,true,text,false,,
shop,所属ショップ,true,false,ref,false,shop,
shop_order,店舗内表示順,false,false,number,false,,
size,サイズ,false,false,text,false,,
sub_option,対応オプションリスト,false,false,ref,true,Sub_Option,
tax_ratio,税率,false,false,number,false,,
