field_name,display_name,required,ix,dtype,list,ref_target,notes
__four weeks price,4週間単価,false,false,number,false,,
__Shop,所属ショップ,true,false,ref,false,User,
__three weeks price,3週間単価,false,false,number,false,,
__two weeks price,2週間単価,false,false,number,false,,
ex_1day,追加日単価,false,false,number,false,,
ex_1hour,追加時間単価,false,false,number,false,,
is_default?,デフォルトフラグ,false,false,boolean,false,,
is_simulation?,シミュレーション用,false,false,boolean,false,,
name,プラン名,true,false,text,false,,
price_14day_intax,30日〜単価,false,false,number,false,,
price_1day_intax,日単価,false,false,number,false,,
price_2day_intax,週単価,false,false,number,false,,
price_30day_intax,月単価,false,false,number,false,,
price_3day_intax,7日〜単価,false,false,number,false,,
price_4hour_intax,時間単価,false,false,number,false,,
price_7day_intax,14日〜単価,false,false,number,false,,
shop,所属ショップ,true,false,ref,false,shop,
tax_ratio,税率,false,false,number,false,,
