field_name,display_name,required,ix,dtype,list,ref_target,notes
__price_menu,料金プラン,false,false,ref,false,Price_menu,
ex_1day_intax,延長日単価,false,false,number,false,,
ex_1hour_intax,延長時間単価,false,false,number,false,,
price,金額,false,false,number,false,,
price_14day_intax,14日間プラン料金,false,false,number,false,,
price_1day_intax,日単価,false,false,number,false,,
price_2day_intax,週単価,false,false,number,false,,
price_30day_intax,30日間プラン料金,false,false,number,false,,
price_3day_intax,月単価,false,false,number,false,,
price_4hour_intax,時間単価,false,false,number,false,,
price_7day_intax,7日間プラン料金,false,false,number,false,,
reservation_detail,予約明細参照,false,false,ref,false,reservation_detail,
sub_option,サブオプション,false,false,ref,false,Sub_Option,
tax_ratio,税率,false,false,number,false,,
