field_name,display_name,required,ix,dtype,list,ref_target,notes
access,店舗アクセス,false,false,text,false,,
address,店舗住所,false,false,text,false,,
brand_status,ブランドレビュー,false,false,option,false,,brand_status
business_address,事業者住所,false,false,text,false,,
business_hour,営業時間,false,false,text,false,,
business_hour_fri,金曜営業時間,false,false,date_range,false,,
business_hour_hol,祝日営業時間,false,false,date_range,false,,
business_hour_mon,月曜営業時間,false,false,date_range,false,,
business_hour_sat,土曜営業時間,false,false,date_range,false,,
business_hour_sun,日曜営業時間,false,false,date_range,false,,
business_hour_thu,木曜営業時間,false,false,date_range,false,,
business_hour_tue,火曜営業時間,false,false,date_range,false,,
business_hour_wed,水曜営業時間,false,false,date_range,false,,
business_name,事業者名,false,false,text,false,,
business_user,事業責任者の氏名,false,false,text,false,,
comment,店舗コメント,false,false,text,false,,
contact_mail,連絡用メール,false,false,text,false,,
day_before_rental,前日貸し出し金額（税込）,false,false,number,false,,
deleted_at,削除日,false,false,date,false,,
image,プロフィール画像,false,false,image,false,,
name,店舗名,false,false,text,false,,
onboading_date,オンボーディング完了日,false,false,date,false,,
pay_jp_apply_form_url,Pay.JP申請URL(text),false,false,text,false,,
pay_on_site,現地払いの決済手段,false,false,text,false,,
payment_method,支払い方法,false,false,option,true,,payment_method
prefecture,都道府県,false,false,option,false,,Prefecture
regular_holiday,定休日（曜日）,false,false,option,true,,曜日
regular_holiday_text,定休日（テキスト）,false,false,text,true,,
shop_holiday,例外営業日リスト,false,false,ref,true,shop_holiday,
tenant_id,テナントID,false,false,text,false,,
url,ホームページURL,false,false,text,false,,
user,ユーザー参照,false,false,ref,false,User,
