field_name,display_name,required,ix,dtype,list,ref_target,notes
__is_archive,アーカイブ済み,false,false,boolean,false,,
__number0,number0（営業日リスト）,false,false,ref,true,shop_holiday,
__number1,number1（営業日リスト）,false,false,ref,true,shop_holiday,
__number2,number2（営業日リスト）,false,false,ref,true,shop_holiday,
__number3,number3（営業日リスト）,false,false,ref,true,shop_holiday,
__number4,number4（営業日リスト）,false,false,ref,true,shop_holiday,
__number5,number5（営業日リスト）,false,false,ref,true,shop_holiday,
__Parent Option,親オプション,false,false,ref,false,Option,
__Shop,所属ショップ,true,false,ref,false,User,
__three weeks price,3週間単価,false,false,number,false,,
__two weeks price,2週間単価,false,false,number,false,,
__貸出ステータス,貸出ステータス,false,false,option,false,,貸し出し可能ステータス
__（税抜き）14日間プラン料金,（税抜き）14日間プラン料金,false,false,number,false,,
__（税抜き）1日プラン料金,（税抜き）1日プラン料金,false,false,number,false,,
__（税抜き）2日間プラン料金,（税抜き）2日間プラン料金,false,false,number,false,,
__（税抜き）30日間プラン料金,（税抜き）30日間プラン料金,false,false,number,false,,
__（税抜き）3日間プラン料金,（税抜き）3日間プラン料金,false,false,number,false,,
__（税抜き）4時間プラン料金,（税抜き）4時間プラン料金,false,false,number,false,,
__（税抜き）7日間プラン料金,（税抜き）7日間プラン料金,false,false,number,false,,
__（税抜き）延長1日料金,（税抜き）延長1日料金,false,false,number,false,,
__（税抜き）延長1時間料金,（税抜き）延長1時間料金,false,false,number,false,,
Bicycles,対応自転車,false,false,ref,true,Bicycle,
deleted_at,削除日,false,false,date,false,,
description,説明,false,false,text,false,,
ex_1day_intax,延長日単価,false,false,number,false,,
ex_1hour_intax,延長時間単価,false,false,number,false,,
four weeks price,4週間単価,false,false,number,false,,
name,サブオプション名,true,false,text,false,,
price_14day_intax,14日間プラン料金,false,false,number,false,,
price_1day_intax,日単価,false,false,number,false,,
price_2day_intax,週単価,false,false,number,false,,
price_30day_intax,30日間プラン料金,false,false,number,false,,
price_3day_intax,月単価,false,false,number,false,,
price_4hour_intax,時間単価,false,false,number,false,,
price_7day_intax,7日間プラン料金,false,false,number,false,,
quantity,最大数量,false,false,number,false,,
shop,所属ショップ,true,false,ref,false,shop,
tax_ratio,税率,false,false,number,false,,
