field_name,display_name,required,ix,dtype,list,ref_target,notes
__archive,アーカイブ済み,false,false,boolean,false,,
__business_address,事業者住所,false,false,text,false,,
__business_hour,営業時間,false,false,text,false,,
__car_id,car_id,false,false,text,false,,
__contact_mail,連絡用メール,false,false,text,false,,
__HP,ホームページURL,false,false,text,false,,
__image,プロフィール画像,false,false,image,false,,
__pay.jp apply form url,Pay.JP申請フォームURL,false,false,text,false,,
__prefecture,都道府県,false,false,ref,false,__Prefecture,
__reviewed_brand,ブランドレビュー,false,false,option,false,,brand_status
__shop_access,店舗アクセス,false,false,text,false,,
__shop_address,店舗住所,false,false,text,false,,
__shop_comment,店舗コメント,false,false,text,false,,
__shop_name,店舗名,false,false,text,false,,
__shop_onboading,オンボーディング完了,false,false,boolean,false,,
__shop_pay_real,現地払いの決済手段（旧）,false,false,text,false,,
__tenant_id,テナントID,false,false,text,false,,
__user_id_payjp,Pay.JP ユーザーID,false,false,text,false,,
__{delete}phone,電話番号（数値・削除予定）,false,false,number,false,,
__事業者名,事業者名,false,false,text,false,,
__前日貸し出し,前日貸し出し,false,false,number,false,,
__担当者,担当者名,false,false,text,false,,
__認証,認証済みフラグ（旧）,false,false,boolean,false,,
__認証番号,認証番号,false,false,text,false,,
address,住所,false,false,text,false,,
birth,生年月日,false,false,date,false,,
cart,カート情報,false,false,ref,false,reservation,
customer_id,Pay.JP 顧客ID,false,false,text,false,,
deleted_at,削除日,false,false,date,false,,
last_visit_date,最終訪問日,false,false,date,false,,
name,氏名,false,false,text,false,,
name_kana,氏名（カナ）,false,false,text,false,,
not_bulk,バルク処理対象外フラグ,false,false,boolean,false,,
notification,キャンペーン通知,false,false,boolean,false,,
payment_method,支払い方法,false,false,option,true,,payment_method
phone_number,電話番号,false,false,text,false,,
postal_code,郵便番号,false,false,number,false,,
role,アクセス権限,false,false,option,false,,Rights
shop,所属ショップ,false,false,ref,false,shop,
stripe_customer_id,StripeカスタマーID,false,false,text,false,,
tall,身長,false,false,number,false,,
