field_name,display_name,required,ix,dtype,list,ref_target,notes
____1_text,事業者名,false,false,text,false,,
name_text,氏名,false,false,text,false,,
name_kana_text,氏名（カナ）,false,false,text,false,,
shop_name_text,店舗名,false,false,text,false,,
shop_address_text,店舗住所,false,false,text,false,,
shop_access_text,店舗アクセス,false,false,text,false,,
shop_comment_text,店舗コメント,false,false,text,false,,
business_hour_text,営業時間,false,false,text,false,,
address_text,住所,false,false,text,false,,
contact_mail_text,連絡用メール,false,false,text,false,,
hp_text,ホームページURL,false,false,text,false,,
phone_text,電話番号,false,false,text,false,,
post_number_number,郵便番号,false,false,number,false,,
birth_date,生年月日,false,false,date,false,,
last_visit_date,最終訪問日,false,false,date,false,,
image_image,プロフィール画像,false,false,image,false,,
cus_id_text,Pay.JP 顧客ID,false,false,text,false,,
shop_pay_real_text,Pay.JP 公開鍵（本番）,false,false,text,false,,⚠️ ハードコードリスク
user_id_payjp_text,Pay.JP ユーザーID,false,false,text,false,,
tenant_id_text,テナントID,false,false,text,false,,
tall_number,身長,false,false,number,false,,
_______number,前日貸し出し設定値,false,false,number,false,,
shop_onboading_boolean,オンボーディング完了,false,false,boolean,false,,
is____boolean,フラグ①,false,false,boolean,false,,
cart_custom_____,カート参照,false,false,ref,false,reservation,
prefecture_custom_prefecture,都道府県,false,false,ref,false,prefecture,
right_option_rights,アクセス権限,false,false,option,false,,Rights
reviewed_brand_option_brand_status,ブランドレビュー,false,false,option,false,,brand_status
______list_option______,支払い方法,false,false,option,true,,支払い方法
____text,担当者名,false,false,text,false,,
_____text,認証番号,false,false,text,false,,
phone1_text,電話番号②,false,false,text,false,,
car_id_text,car_id,false,false,text,false,,
archive_boolean,アーカイブ済み,false,false,boolean,false,,
is__________boolean,キャンペーン通知,false,false,boolean,false,,
business_address_text,事業者住所,false,false,text,false,,
pay_jp_apply_form_url_text,Pay.JP申請URL(text),false,false,text,false,,
pay_jp_apply_form_url_user,Pay.JP申請URL(user参照),false,false,ref,false,user,
