field_name,display_name,required,ix,dtype,list,ref_target,notes
14日間プラン料金,7〜13日単価,false,false,number,false,,
1日プラン料金,1〜6日単価,false,false,number,false,,
2日間プラン料金,日単価,false,false,number,false,,
30日間プラン料金,14〜29日単価,false,false,number,false,,
3日間プラン料金,週単価,false,false,number,false,,
4時間プラン料金,時間単価,false,false,number,false,,
7日間プラン料金,月単価,false,false,number,false,,
Bicycle Category,自転車カテゴリ,false,false,option,false,,Bicycle Category
Brand name,ブランド名,false,false,text,false,,
color,カラー,false,false,text,false,,
comment,コメント,false,false,text,false,,
ebike,電動アシスト,false,false,boolean,false,,
four weeks price,4週間単価,false,false,number,false,,
images,画像,false,false,image,true,,
is_archive,アーカイブ済み,false,false,boolean,false,,
max date,最大貸出日数,false,false,number,false,,
more a day price,延長日単価,false,false,number,false,,
more a hour price,延長時間単価,false,false,number,false,,
name,自転車名,true,false,text,false,,
No,管理番号,false,true,number,false,,
Price_Menu,料金プラン,false,false,ref,false,price_menu,
serial number,シリアル番号,false,true,text,false,,
Shop,所属ショップ,true,false,ref,false,user,
size,サイズ,false,false,text,false,,
three weeks price,3週間単価,false,false,number,false,,
two weeks price,2週間単価,false,false,number,false,,
貸出ステータス,貸出ステータス,false,false,option,false,,貸し出し可能ステータス
（税抜き）14日間プラン料金,（税抜き）14日間プラン料金,false,false,number,false,,
（税抜き）1日プラン料金,（税抜き）1日プラン料金,false,false,number,false,,
（税抜き）2日間プラン料金,（税抜き）2日間プラン料金,false,false,number,false,,
（税抜き）30日間プラン料金,（税抜き）30日間プラン料金,false,false,number,false,,
（税抜き）3日間プラン料金,（税抜き）3日間プラン料金,false,false,number,false,,
（税抜き）4時間プラン料金,（税抜き）4時間プラン料金,false,false,number,false,,
（税抜き）7日間プラン料金,（税抜き）7日間プラン料金,false,false,number,false,,
（税抜き）延長1日料金,（税抜き）延長1日料金,false,false,number,false,,
（税抜き）延長1時間料金,（税抜き）延長1時間料金,false,false,number,false,,
