field_name,display_name,required,ix,dtype,list,ref_target,notes
name_text,サブオプション名,true,false,text,false,,
description_text,説明,false,false,text,false,,
max_number_number,最大数量,false,false,number,false,,
is_archive_boolean,アーカイブ済み,false,false,boolean,false,,
a_hour_price_number,時間単価,false,false,number,false,,
a_day_price_number,日単価,false,false,number,false,,
a_week_price_number,週単価,false,false,number,false,,
a_month_price_number,月単価,false,false,number,false,,
two_weeks_price_number,2週間単価,false,false,number,false,,
four_weeks_price_number,4週間単価,false,false,number,false,,
tax_percent_number,税率,false,false,number,false,,
parent_option_custom_option,親オプション,false,false,ref,false,option,
bicycles_list_custom_bicycle,対応自転車,false,false,ref,true,bicycle,
shop_user,所属ショップ,true,false,ref,false,user,
7________number,7日間プラン料金,false,false,number,false,,
14________number,14日間プラン料金,false,false,number,false,,
30________number,30日間プラン料金,false,false,number,false,,
_____1____number,（税抜き）1日プラン料金,false,false,number,false,,
_____1_____number,（税抜き）3日間プラン料金,false,false,number,false,,
_____1____1_number,（税抜き）4時間プラン料金,false,false,number,false,,
_____1____2_number,（税抜き）2日間プラン料金,false,false,number,false,,
_______1____number,（税抜き）延長1日料金,false,false,number,false,,
_______1_____number,（税抜き）延長1時間料金,false,false,number,false,,
_____7________number,（税抜き）7日間プラン料金,false,false,number,false,,
_____14________number,（税抜き）14日間プラン料金,false,false,number,false,,
_____30________number,（税抜き）30日間プラン料金,false,false,number,false,,
more_a_day_price_number,延長日単価,false,false,number,false,,
more_a_hour_price_number,延長時間単価,false,false,number,false,,
three_weeks_price_number,3週間単価,false,false,number,false,,
________option____________,貸出ステータス,false,false,option,false,,貸し出し可能ステータス
number0_list_custom________,number0（営業日リスト）,false,false,ref,true,shop_schedule,
number1_list_custom________,number1（営業日リスト）,false,false,ref,true,shop_schedule,
number2_list_custom________,number2（営業日リスト）,false,false,ref,true,shop_schedule,
number3_list_custom________,number3（営業日リスト）,false,false,ref,true,shop_schedule,
number4_list_custom________,number4（営業日リスト）,false,false,ref,true,shop_schedule,
number5_list_custom________,number5（営業日リスト）,false,false,ref,true,shop_schedule,
number1_custom________,number1（営業日）,false,false,ref,false,shop_schedule,
number2_custom________,number2（営業日）,false,false,ref,false,shop_schedule,
