field_name,display_name,required,ix,dtype,list,ref_target,notes
14日間プラン料金,14日〜単価,false,false,number,false,,
1日プラン料金,時間単価,false,false,number,false,,
1日延長,追加日単価,false,false,number,false,,
1時間延長,追加時間単価,false,false,number,false,,
2日間プラン料金,週単価,false,false,number,false,,
30日間プラン料金,30日〜単価,false,false,number,false,,
3日間プラン料金,月単価,false,false,number,false,,
4時間プラン料金,日単価,false,false,number,false,,
7日間プラン料金,7日〜単価,false,false,number,false,,
default,デフォルトフラグ,false,false,boolean,false,,
for simulation,シミュレーション用,false,false,boolean,false,,
four weeks price,4週間単価,false,false,number,false,,
name,プラン名,true,false,text,false,,
Shop,所属ショップ,true,false,ref,false,user,
tax percent,税率,false,false,number,false,,
three weeks price,3週間単価,false,false,number,false,,
two weeks price,2週間単価,false,false,number,false,,
