field_name,display_name,required,ix,dtype,list,ref_target,notes
14日間プラン料金,14日間プラン料金,false,false,number,false,,
1日プラン料金,日単価,false,false,number,false,,
2日間プラン料金,週単価,false,false,number,false,,
30日間プラン料金,30日間プラン料金,false,false,number,false,,
3日間プラン料金,月単価,false,false,number,false,,
4時間プラン料金,時間単価,false,false,number,false,,
7日間プラン料金,7日間プラン料金,false,false,number,false,,
Bicycles,対応自転車,false,false,ref,true,bicycle,
description,説明,false,false,text,false,,
four weeks price,4週間単価,false,false,number,false,,
is_archive,アーカイブ済み,false,false,boolean,false,,
max_number,最大数量,false,false,number,false,,
more a day price,延長日単価,false,false,number,false,,
more a hour price,延長時間単価,false,false,number,false,,
name,サブオプション名,true,false,text,false,,
number0,number0（営業日リスト）,false,false,ref,true,shop_schedule,
number3,number3（営業日リスト）,false,false,ref,true,shop_schedule,
number4,number4（営業日リスト）,false,false,ref,true,shop_schedule,
number5,number5（営業日リスト）,false,false,ref,true,shop_schedule,
Parent Option,親オプション,false,false,ref,false,option,
Shop,所属ショップ,true,false,ref,false,user,
tax percent,税率,false,false,number,false,,
three weeks price,3週間単価,false,false,number,false,,
two weeks price,2週間単価,false,false,number,false,,
貸出ステータス,貸出ステータス,false,false,option,false,,貸し出し可能ステータス
（税抜き）14日間プラン料金,（税抜き）14日間プラン料金,false,false,number,false,,
（税抜き）1日プラン料金,（税抜き）1日プラン料金,false,false,number,false,,
（税抜き）2日間プラン料金,（税抜き）2日間プラン料金,false,false,number,false,,
（税抜き）30日間プラン料金,（税抜き）30日間プラン料金,false,false,number,false,,
（税抜き）3日間プラン料金,（税抜き）3日間プラン料金,false,false,number,false,,
（税抜き）4時間プラン料金,（税抜き）4時間プラン料金,false,false,number,false,,
（税抜き）7日間プラン料金,（税抜き）7日間プラン料金,false,false,number,false,,
（税抜き）延長1日料金,（税抜き）延長1日料金,false,false,number,false,,
（税抜き）延長1時間料金,（税抜き）延長1時間料金,false,false,number,false,,
