field_name,display_name,required,ix,dtype,list,ref_target,notes
address,住所,false,false,text,false,,
archive,アーカイブ済み,false,false,boolean,false,,
birth,生年月日,false,false,date,false,,
business_address,事業者住所,false,false,text,false,,
business_hour,営業時間,false,false,text,false,,
car_id,car_id,false,false,text,false,,
cart,カート参照,false,false,ref,false,reservation,
contact_mail,連絡用メール,false,false,text,false,,
cus_id,Pay.JP 顧客ID,false,false,text,false,,
HP,ホームページURL,false,false,text,false,,
image,プロフィール画像,false,false,image,false,,
is_キャンペーン通知,キャンペーン通知,false,false,boolean,false,,
last-visit,最終訪問日,false,false,date,false,,
name,氏名,false,false,text,false,,
name_kana,氏名（カナ）,false,false,text,false,,
post_number,郵便番号,false,false,number,false,,
prefecture,都道府県,false,false,ref,false,prefecture,
reviewed_brand,ブランドレビュー,false,false,option,false,,brand_status
Right,アクセス権限,false,false,option,false,,Rights
shop_access,店舗アクセス,false,false,text,false,,
shop_address,店舗住所,false,false,text,false,,
shop_comment,店舗コメント,false,false,text,false,,
shop_name,店舗名,false,false,text,false,,
shop_onboading,オンボーディング完了,false,false,boolean,false,,
shop_pay_real,Pay.JP 公開鍵（本番）,false,false,text,false,,⚠️ ハードコードリスク
tall,身長,false,false,number,false,,
tenant_id,テナントID,false,false,text,false,,
user_id_payjp,Pay.JP ユーザーID,false,false,text,false,,
事業者名,事業者名,false,false,text,false,,
前日貸し出し,前日貸し出し設定値,false,false,number,false,,
担当者,担当者名,false,false,text,false,,
支払い方法,支払い方法,false,false,option,true,,支払い方法
認証,フラグ①,false,false,boolean,false,,
認証番号,認証番号,false,false,text,false,,
