field_name,display_name,required,ix,dtype,list,ref_target,notes
____1_number,予約番号,false,true,number,false,,
____date,貸出日,true,false,date,false,,
___1_date,返却日,true,false,date,false,,
_____number,合計金額,false,false,number,false,,
____2_number,延長料金,false,false,number,false,,
charge_id_text,Pay.JP チャージID,false,false,text,false,,
__charge_id_text,Pay.JP チャージID②,false,false,text,false,,
token_text,決済トークン,false,false,text,false,,
_______boolean,ステータス①,false,false,boolean,false,,
________boolean,ステータス②,false,false,boolean,false,,
_____boolean,ステータス③,false,false,boolean,false,,
___user,ユーザー,true,false,ref,false,user,
________list_custom_______1,予約明細リスト,false,false,ref,true,reservation_detail,
__________list_custom__________1,オプション価格リスト,false,false,ref,true,option_price,
________option___yesno,Yes/No選択,false,false,option,false,,yes/no
______date,延長返却日,false,false,date,false,,
______text,支払い方法,false,false,text,false,,
___id_text,返金ID,false,false,text,false,,
____1_boolean,返金済み,false,false,boolean,false,,
_________number,手数料デフォルト,false,false,number,false,,
__charge_id1_text,返金charge_id,false,false,text,false,,
____custom_______1,手数料,false,false,ref,false,reservation_count,
______option________,ステータス,false,false,option,false,,予約ステータス
