field_name,display_name,required,ix,dtype,list,ref_target,notes
________list_custom_______1,予約明細リスト,false,false,ref,true,reservation_detail,
charge_id,Pay.JP チャージID,false,false,text,false,,
token,決済トークン,false,false,text,false,,
ステータス,ステータス,false,false,option,false,,予約ステータス
予約番号,予約番号,false,true,number,false,,
前日貸し出し,ステータス①,false,false,boolean,false,,
合計金額,合計金額,false,false,number,false,,
店舗,ユーザー,true,false,ref,false,user,
延長charge_id,Pay.JP チャージID②,false,false,text,false,,
延長料金,延長料金,false,false,number,false,,
延長返却日,延長返却日,false,false,date,false,,
手数料,手数料,false,false,ref,false,reservation_count,
手数料デフォルト,手数料デフォルト,false,false,number,false,,
支払い方法,支払い方法,false,false,text,false,,
請求済み,ステータス③,false,false,boolean,false,,
貸出日,貸出日,true,false,date,false,,
返却日,返却日,true,false,date,false,,
返金_id,返金ID,false,false,text,false,,
返金charge_id,返金charge_id,false,false,text,false,,
返金済み,返金済み,false,false,boolean,false,,
