テーブル論理名(To-Be),テーブル名（日本語名）(To-Be),フィールド名(英語),フィールド名日本語,フィールドタイプ,refの場合のData TypeかOption Sets,リストかどうか,メモ（説明）,既存datatype(As-Is),既存field_name(As-Is),変更区分
User,User（会員・アカウント）,email,メール（ログイン）,Text,,No,ログインキー。ユニークはアプリ側; Bubble As-Isにログイン専用メールがない前提,,,新規作成
User,User（会員・アカウント）,name,氏名,Text,,No,,User,name,継続
User,User（会員・アカウント）,name_kana,氏名（カナ）,Text,,No,,User,name_kana,継続
User,User（会員・アカウント）,birth_date,生年月日,Date,,No,,User,birth,移行改名
User,User（会員・アカウント）,height_cm,身長(cm),Number,,No,,User,tall,移行改名
User,User（会員・アカウント）,postal_code,郵便番号,Text,,No,,User,post_number,移行改名
User,User（会員・アカウント）,address,住所,Text,,No,,User,address,継続
User,User（会員・アカウント）,contact_email,連絡用メール,Text,,No,,User,contact_mail,移行改名
User,User（会員・アカウント）,profile_image,プロフィール画像,Image,,No,,User,image,移行改名
User,User（会員・アカウント）,right,アクセス権限,Option set,Rights,No,,User,Right,移行改名
User,User（会員・アカウント）,assigned_shop,所属店舗,Reference,Shop,No,加盟店スタッフ用; 加盟店スタッフ,,,新規作成
User,User（会員・アカウント）,cus_id_payjp,Pay.JP 顧客ID,Text,,No,機微情報,User,cus_id,継続
User,User（会員・アカウント）,tenant_id_payjp,Pay.JP テナントID,Text,,No,加盟店用,User,tenant_id,移行改名
User,User（会員・アカウント）,user_id_payjp,Pay.JP ユーザーID,Text,,No,,User,user_id_payjp,継続
User,User（会員・アカウント）,payjp_public_key_live,Pay.JP 公開鍵（本番）,Text,,No,Secrets 推奨,User,shop_pay_real,移行改名
User,User（会員・アカウント）,is_archived,アーカイブ済み,Yes/No,,No,,User,archive,移行改名
User,User（会員・アカウント）,is_campaign_notify,キャンペーン通知,Yes/No,,No,,User,is_キャンペーン通知,移行改名
User,User（会員・アカウント）,last_visit_at,最終訪問日,Date,,No,,User,last-visit,移行改名
User,User（会員・アカウント）,auth_verified,認証済み,Yes/No,,No,,User,認証,移行改名
User,User（会員・アカウント）,auth_code,認証番号,Text,,No,,User,認証番号,継続
User,User（会員・アカウント）,business_name,事業者名,Text,,No,,User,事業者名,継続
User,User（会員・アカウント）,business_address,事業者住所,Text,,No,,User,business_address,継続
User,User（会員・アカウント）,car_id,car_id,Text,,No,,User,car_id,継続
User,User（会員・アカウント）,home_page_url,ホームページURL,Text,,No,,User,HP,移行改名
User,User（会員・アカウント）,brand_review_status,ブランドレビュー,Option set,brand_status,No,,User,reviewed_brand,移行改名
User,User（会員・アカウント）,prefecture,都道府県,Option set,Prefecture,No,Thing 廃止し optionset 化する案; ref→Option Set案,User,prefecture,型変更
