都道府県,店舗,住所,営業時間,台数,うちメンテナンス中
宮城県,RINCLE 仙台大町西公園駅店/BICIAMORE 仙台店,宮城県仙台市青葉区大町2-3-22,11時～19時,2,
茨城県,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,10時〜19時,12,1
茨城県,RINCLE 茨城日立店/BICYCLE PARK O2 日立本店,茨城県日立市水木町2-42-3,平日、土曜、祭日 11時〜19時,7,3
茨城県,RINCLE 茨城守谷店/オンザロード守谷店,茨城県守谷市松ケ丘3丁目9-5,10時〜19時,7,1
茨城県,RINCLE 茨城ひたちなか店/BICYCLE PARK O2 ひたちなか店,茨城県ひたちなか市馬渡3494-9,平日、土曜、祭日 11時〜19時,6,4
群馬県,RINCLE 群馬伊勢崎店/POWER KIDS伊勢崎店,群馬県伊勢崎市連取元町287-1,月～土: 11時～20時,4,
埼玉県,RINCLE 埼玉浦和駅店 / BICIAMORE 浦和店,埼玉県さいたま市浦和区東仲町9-11,11時30分～19時（来店対応時間）,3,
千葉県,RINCLE 千葉原木中山駅店/BICIAMORE 千葉店,千葉県船橋市本中山7丁目14-1 松丸ハイツ1階,11時～19時,1,
千葉県,RINCLE 千葉柏店/オンザロード柏店 （レンタル車体準備中）,千葉県柏市泉町17-25 イシド・アームス 1F,10時〜19時,0,
東京都,RINCLE東京駒沢公園店/LORO bicycles 駒沢公園店,東京都世田谷区深沢2-19-20 クレードル駒沢公園1F,11:00〜19:00 定休日：木曜日（祝日の場合は営業）、年末年始),9,
東京都,RINCLE東京東日本橋駅店/LORO CYCLEWORKS TOKYO (レンタル車体準備中）,東京都中央区日本橋久松町11-6,11:00〜19:00 定休日：木曜日（祝日の場合は営業）、年末年始),7,
東京都,RINCLE 東京稲城矢ノ口駅店 / スペシャライズド 稲城,東京都稲城市矢野口305-1,10時～18時,5,
東京都,RINCLE 東京西新宿駅店/スペシャライズド CPO,東京都新宿区西新宿6-26-3,12時～19時（最終来店受付時間 18時）,4,1
東京都,RINCLE 東京広尾駅店/BICIAMORE 南麻布店,東京都港区南麻布4-13-7 シルク南麻布1階,11時～19時,3,
東京都,RINCLE 東京世田谷用賀店/LORO SETAGAYA,東京都世田谷区上用賀3-7-8,11:00〜19:00（定休日：火曜日（祝日の場合は営業）、年末年始）,2,
東京都,RINCLE 東京三越駅前店/LORO SLOW SPOT (レンタル車体準備中）,東京都中央区日本橋室町1-9-9,11:00〜19:00 　定休日：木曜日（祝日の場合はSNS等で営業の可否をお確かめください。）、年末年始,2,1
東京都,RINCLE 東京立川駅店/BICIAMORE 立川店,東京都立川市柴崎町2丁目2-19 カトービル1階,11時～19時,1,
神奈川県,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,11:00〜19:00 （定休日：毎週火、木曜日（祝日の場合は営業）、年末年始）,31,28
神奈川県,RINCLE 横浜元町中華街駅店 / BICIAMORE 横浜店,神奈川県横浜市中区山下町 106-3,11時～19時,3,
神奈川県,RINCLE 神奈川小田原店/エンドウ商会 (レンタル車体準備中）,神奈川県小田原市扇町1丁目28-28,月～土：10時〜19時,0,
愛知県,RINCLE 名鉄東岡崎駅店 / スペシャライズド 岡崎,愛知県岡崎市上明大寺町2丁目14-8 オトリバーサイドテラス 1F,11:00〜19:30,8,1
愛知県,RINCLE 名古屋名城公園駅店 / スペシャライズド 名城,愛知県名古屋市北区名城,11:00〜19:30,8,1
愛知県,RINCLE 愛知小牧店 / カミハギサイクル 小牧本店,愛知県小牧市小木東1-25,11:00〜19:30,7,
愛知県,RINCLE 名古屋徳重駅店 / カミハギサイクル 緑店,愛知県名古屋市緑区鶴が沢2-1012,11:00〜19:30,6,
愛知県,RINCLE 名古屋ささしまライブ駅店 / カミハギサイクル ささしま店,愛知県名古屋市中村区平池町グローバルゲート 1階,11時〜20時,2,
愛知県,RINCLE 名古屋車道駅店/BICIAMORE 名古屋店,愛知県名古屋市東区筒井3-26-10,11時～19時,1,1
滋賀県,RINCLE 滋賀守山/スクアドラ滋賀守山（レンタル車体準備中）,滋賀県守山市今宿4丁目5-7,12時〜20時,0,
京都府,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,11時〜19時,11,
京都府,RINCLE 京都北大路駅店/LORO CYCLEWORKS KYOTO,京都府京都市北区小山北玄以町14-6,11:00〜19:00（定休日：木曜日（祝日の場合は営業）、年末年始）,3,
大阪府,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,平日：12時～20時,12,
大阪府,RINCLE 大阪住之江店/スペシャライズド住之江,大阪府大阪市住之江区新北島5丁目2-1,11時〜19時,9,
大阪府,RINCLE 箕面稲店 / スペシャライズド箕面,大阪府箕面市稲2丁目2-37,11時〜19時,6,
大阪府,RINCLE 大阪北浜駅店/LORO CYCLEWORKS (レンタル車体準備中）,大阪府大阪市中央区東高麗橋4-7 ミュー高麗橋1F,11:00〜19:00（定休日：木曜日（祝日の場合は営業）、年末年始）,5,5
大阪府,RINCLE 大阪平野/バイクプロショップ スクアドラ（レンタル車体準備中）,大阪府大阪市平野区流町1丁目5-14,月～金：12時〜20時,0,
兵庫県,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,11時〜19時　定休日：水・木,17,3
兵庫県,RINCLE 神戸駅店 / スペシャライズド神戸,兵庫県神戸市中央区相生町2丁目1-337,11時〜19時,10,1
兵庫県,RINCLE 神戸東灘店/BICYCLE STORE Rideworks（レンタル車体準備中）,兵庫県神戸市東灘区本山中町2丁目1-32,平日　　11時～20時,6,
兵庫県,RINCLE 神戸三宮駅店 /Brompton Junction KOBE (レンタル車体準備中）,兵庫県神戸市中央区下山手通3-3-1,11:00〜19:00（定休日：水曜日（祝日の場合は営業）、年末年始）,6,6
兵庫県,RINCLE 芦屋甲南山手店/BICIAMORE 芦屋店,兵庫県芦屋市清水町9-11,11時～19時,3,
奈良県,RINCLE 奈良公園店 / cycle shop Re Belle.,奈良県奈良市川上町439-3,11時〜19時,10,1
奈良県,RINCLE 奈良登美ヶ丘駅前店 / バイシクルカラー奈良登美ヶ丘店,奈良県奈良市中登美ヶ丘六丁目3-7リコラス登美ヶ丘B-102,10時～18時　※木曜日のみ13時～17時,6,1
岡山県,RINCLE 岡山西川原駅店 / cycle shop Freedom,岡山県岡山市中区竹田15-1,平日12時〜19時,10,1
岡山県,RINCLE 岡山上中野店 / WAVE BIKES 岡山店,岡山県岡山市北区上中野2-28-15,平日 10:00～18:30  日 10:00～18:30,7,2
岡山県,RINCLE 岡山総社店 / WAVE BIKES 総社店,岡山県総社市中央4丁目1-103,平日 10:00～18:30  日 13:00～18:30,5,1
広島県,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,9:00〜18:00（定休日：火曜日・水曜日（祝日の場合は営業）、年末年始）,22,
広島県,RINCLE 広島福山店 / サイクルハウス ケンズ,広島県福山市三吉町1丁目4-6,月〜土 10時～ 19時,11,
広島県,RINCLE 広島駅店/BICIAMORE 広島店,広島県広島県広島市東区愛宕町4-1 正岡ビル 101,11時～19時,3,
香川県,RINCLE 高松空港通り店 / WAVE BIKES 高松店,香川県高松市三名町670-3,平日 10:00～18:30 日 13:00～18:30,4,1
愛媛県,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,11:00〜19:00 （定休日：水曜、木曜（祝日の場合は営業）、年末年始）,11,
愛媛県,RINCLE 愛媛西条北店 / WINDS BIKES,愛媛県西条市喜多川808-1,平日：12時～20時,5,1
愛媛県,RINCLE 愛媛大三島店/ローロサイクルワークス R-HUB店 (レンタルバイク準備中）,愛媛県今治市大三島町宮浦231番地,貸出・返却時間　：9時〜18時,1,1
福岡県,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,11:00〜19:00（定休日：火曜日（祝日の場合は営業）、年末年始）,11,6
福岡県,RINCLE 福岡薬院駅店/BICIAMORE 福岡店,福岡県福岡市中央区薬院4-18-3 サニークレスト1階,11時～19時,3,3
熊本県,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,11時〜20時,18,6
熊本県,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,11時～19時,14,2
熊本県,RINCLE 熊本中央店/BEACH LINE BICYCLE,熊本県熊本市南区田迎6-1-42,月ー土 :10時〜20時,4,
