ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
TREK,マーリン6,,貸出可能,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,マウンテンバイク,M（165 - 177 cm）,3500,4800,7500,10000,,,,
TREK,FX3,,貸出可能,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,クロスバイク,L（175 - 186 cm）,2500,4000,6000,8000,,,,
TREK,FX3,,貸出可能,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,クロスバイク,M（165 - 175 cm）,2500,4000,6000,8000,,,,
TREK,FX3,,貸出可能,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,クロスバイク,S（155 - 165 cm）,2500,4000,6000,8000,,,,
TREK,FX2,,貸出可能,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,クロスバイク,XS（147 - 155 cm）,2500,4000,6000,8000,,,,
TREK,FX2,,貸出可能,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,クロスバイク,M（165 - 175 cm）,2500,4000,6000,8000,,,,
TREK,FX Sport SL 4,,貸出可能,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,クロスバイク,M（165 - 175 cm）,3500,4500,7500,10000,,,,
TREK,プリカリバー24,,貸出可能,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,キッズ,24インチホイール（130 - 150 cm）,1500,2000,2500,3000,,,,
TREK,マドンSL6,,貸出可能,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,ロードバイク,M（166 - 177 cm）,7000,12100,16000,27000,,,,
TREK,ドマーネAL5,,貸出可能,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,ロードバイク,54（172 - 177 cm）,5000,8000,12001,17000,,,,
TREK,ドマーネAL4,,貸出可能,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,ロードバイク,49（156 - 165 cm）,5000,8000,12001,17000,,,,
TREK,ドマーネAL2,,メンテナンス中,RINCLE 茨城つくば店/オンザロードつくば店,茨城県つくば市二の宮3丁目16-2,ロードバイク,44（150 - 156 cm）,3500,4800,7500,10000,,,,
TREK,FX 2 Gen4,,貸出可能,RINCLE 茨城日立店/BICYCLE PARK O2 日立本店,茨城県日立市水木町2-42-3,クロスバイク,M(165 - 175 cm),2500,4000,6000,8000,12100,19000,29000,
BESV,PSA1,e-bike,貸出可能,RINCLE 茨城日立店/BICYCLE PARK O2 日立本店,茨城県日立市水木町2-42-3,ミニベロ/折りたたみ,Free(153cm~),4000,5500,8500,12100,20000,30000,44000,
DAHON,K3,,貸出可能,RINCLE 茨城日立店/BICYCLE PARK O2 日立本店,茨城県日立市水木町2-42-3,ミニベロ/折りたたみ,Free(142cm ~ 180cm),2200,3600,5401,7200,10200,15500,22600,
TREK,DOMANE AL 2 Gen4,,貸出可能,RINCLE 茨城日立店/BICYCLE PARK O2 日立本店,茨城県日立市水木町2-42-3,ロードバイク,52(165cm~175cm),3500,4800,7500,10000,16000,26000,36000,
PINARELLO,DOGMA F(2026),,メンテナンス中,RINCLE 茨城日立店/BICYCLE PARK O2 日立本店,茨城県日立市水木町2-42-3,ロードバイク,515(約170cm前後),7000,12100,,,,,,
ORBEA,TERRA RACE,,メンテナンス中,RINCLE 茨城日立店/BICYCLE PARK O2 日立本店,茨城県日立市水木町2-42-3,ロードバイク,S(約170cm前後),7000,12100,,,,,,
CANNONDALE,SUPER SIX EVO Gen 4,,メンテナンス中,RINCLE 茨城日立店/BICYCLE PARK O2 日立本店,茨城県日立市水木町2-42-3,ロードバイク,51(165cm~175cm),7000,12100,,,,,,
TREK,ドマーネAL2,,貸出可能,RINCLE 茨城守谷店/オンザロード守谷店,茨城県守谷市松ケ丘3丁目9-5,ロードバイク,52（166 - 172 cm）,3500,4800,7500,10000,,,,
TREK,FX3,,貸出可能,RINCLE 茨城守谷店/オンザロード守谷店,茨城県守谷市松ケ丘3丁目9-5,クロスバイク,M（165 - 175 cm）,2500,4000,6000,8000,,,,
TREK,FX2,,貸出可能,RINCLE 茨城守谷店/オンザロード守谷店,茨城県守谷市松ケ丘3丁目9-5,クロスバイク,S（155 - 165 cm）,2500,4000,6000,8000,,,,
TREK,マーリン5,,貸出可能,RINCLE 茨城守谷店/オンザロード守谷店,茨城県守谷市松ケ丘3丁目9-5,マウンテンバイク,M（165 - 177 cm）,3500,4800,7500,10000,,,,
TREK,マーリン+ 6,e-bike,貸出可能,RINCLE 茨城守谷店/オンザロード守谷店,茨城県守谷市松ケ丘3丁目9-5,マウンテンバイク,S（155 - 165 cm）,5000,8000,12100,17000,,,,
TREK,マドンSL5,,貸出可能,RINCLE 茨城守谷店/オンザロード守谷店,茨城県守谷市松ケ丘3丁目9-5,ロードバイク,S（162 - 166 cm）,5000,8000,12001,17000,,,,
TREK,ドマーネAL2,,メンテナンス中,RINCLE 茨城守谷店/オンザロード守谷店,茨城県守谷市松ケ丘3丁目9-5,ロードバイク,44（150 - 156 cm）,3500,4800,7500,10000,,,,
TREK,Marlin7,,貸出可能,RINCLE 茨城ひたちなか店/BICYCLE PARK O2 ひたちなか店,茨城県ひたちなか市馬渡3494-9,マウンテンバイク,M 165-177,3500,4800,7500,10000,16000,26000,36000,
TREK,Rail5GEN3,e-bike,貸出可能,RINCLE 茨城ひたちなか店/BICYCLE PARK O2 ひたちなか店,茨城県ひたちなか市馬渡3494-9,マウンテンバイク,M 165-177,5000,8000,12100,17000,28000,36000,64000,
TREK,MADONE SL,,メンテナンス中,RINCLE 茨城ひたちなか店/BICYCLE PARK O2 ひたちなか店,茨城県ひたちなか市馬渡3494-9,ロードバイク,S (162-166),5000,8000,12001,17000,28000,36000,64000,
TREK,DOMANE AL2,,メンテナンス中,RINCLE 茨城ひたちなか店/BICYCLE PARK O2 ひたちなか店,茨城県ひたちなか市馬渡3494-9,ロードバイク,52,3500,4800,7500,10000,16000,26000,36000,
TREK,DOMANE SL6,,メンテナンス中,RINCLE 茨城ひたちなか店/BICYCLE PARK O2 ひたちなか店,茨城県ひたちなか市馬渡3494-9,ロードバイク,44,5000,8000,12001,17000,28000,36000,64000,
TREK,FX3,,メンテナンス中,RINCLE 茨城ひたちなか店/BICYCLE PARK O2 ひたちなか店,茨城県ひたちなか市馬渡3494-9,クロスバイク,M,2000,3300,4800,6400,9600,15200,23200,
