ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
TREK,FX3 DISC,,貸出可能,RINCLE東京駒沢公園店/LORO bicycles 駒沢公園店,東京都世田谷区深沢2-19-20 クレードル駒沢公園1F,クロスバイク,M (165 - 175 cm),2500,4000,,,,,,
TREK,Madone SL5,,貸出可能,RINCLE東京駒沢公園店/LORO bicycles 駒沢公園店,東京都世田谷区深沢2-19-20 クレードル駒沢公園1F,ロードバイク,M (166 - 177 cm),5000,8000,12001,17000,,,,
TREK,Rail5,e-bike,貸出可能,RINCLE東京駒沢公園店/LORO bicycles 駒沢公園店,東京都世田谷区深沢2-19-20 クレードル駒沢公園1F,マウンテンバイク,M (165 - 177 cm),4500,7200,10800,15400,,,,~5日間 ¥23800
TREK,Marlin 6 Gen 3,,貸出可能,RINCLE東京駒沢公園店/LORO bicycles 駒沢公園店,東京都世田谷区深沢2-19-20 クレードル駒沢公園1F,マウンテンバイク,M (165 - 177 cm),3500,4800,7500,10000,16000,26000,36000,
TREK,Madone SLR 9 Gen 8,,貸出可能,RINCLE東京駒沢公園店/LORO bicycles 駒沢公園店,東京都世田谷区深沢2-19-20 クレードル駒沢公園1F,ロードバイク,M (166 - 177 cm),7000,12100,16000,,,,,
TREK,Checkpoint SL 5 AXS Gen 3,,貸出可能,RINCLE東京駒沢公園店/LORO bicycles 駒沢公園店,東京都世田谷区深沢2-19-20 クレードル駒沢公園1F,ロードバイク,M (166 - 177 cm),5000,8000,12001,17000,28000,36000,64000,
TREK,Domane AL4 GEN4,,貸出可能,RINCLE東京駒沢公園店/LORO bicycles 駒沢公園店,東京都世田谷区深沢2-19-20 クレードル駒沢公園1F,ロードバイク,52 (166 - 172 cm),3500,4800,7500,10000,16000,,,
TREK,Domane AL2 Gen 4,,貸出可能,RINCLE東京駒沢公園店/LORO bicycles 駒沢公園店,東京都世田谷区深沢2-19-20 クレードル駒沢公園1F,ロードバイク,56 (177 - 182 cm),3500,4800,7500,10000,16000,,,
TREK,Domane AL2 Gen4,,貸出可能,RINCLE東京駒沢公園店/LORO bicycles 駒沢公園店,東京都世田谷区深沢2-19-20 クレードル駒沢公園1F,ロードバイク,44 (150 - 156 cm),3500,4800,7500,10000,16000,,,
TREK,FX 2 Disc,,貸出可能,RINCLE東京東日本橋駅店/LORO CYCLEWORKS TOKYO (レンタル車体準備中）,東京都中央区日本橋久松町11-6,クロスバイク,S（155cm~165cm）,2500,4000,6000,8000,12100,19000,29000,
TREK,FX 3 Disc,,貸出可能,RINCLE東京東日本橋駅店/LORO CYCLEWORKS TOKYO (レンタル車体準備中）,東京都中央区日本橋久松町11-6,クロスバイク,L（175cm~186cm）,2500,4000,6000,8000,12100,19000,29000,
TREK,Madone SL 5,,貸出可能,RINCLE東京東日本橋駅店/LORO CYCLEWORKS TOKYO (レンタル車体準備中）,東京都中央区日本橋久松町11-6,ロードバイク,M（166cm~177cm）,5000,8000,,,,,,
TREK,Domane SL 6,,貸出可能,RINCLE東京東日本橋駅店/LORO CYCLEWORKS TOKYO (レンタル車体準備中）,東京都中央区日本橋久松町11-6,ロードバイク,52（166cm~172cm）,5000,8000,,,,,,
Brompton,P-Line S4L Urban,,貸出可能,RINCLE東京東日本橋駅店/LORO CYCLEWORKS TOKYO (レンタル車体準備中）,東京都中央区日本橋久松町11-6,ミニベロ/折りたたみ,フリーサイズ,4400,6600,11000,13999,15999,18000,23999,
Brompton,C-Line M12L Explore,,貸出可能,RINCLE東京東日本橋駅店/LORO CYCLEWORKS TOKYO (レンタル車体準備中）,東京都中央区日本橋久松町11-6,ミニベロ/折りたたみ,フリーサイズ,3850,5500,9900,12400,13500,15500,18000,
TREK,Domane AL 2,,貸出可能,RINCLE東京東日本橋駅店/LORO CYCLEWORKS TOKYO (レンタル車体準備中）,東京都中央区日本橋久松町11-6,ロードバイク,49cm（156cm~165cm）,3500,4800,7500,10000,16000,26000,36000,
SPECIALIZED,ALLEZ COMP 105 2×12SPEED,,貸出可能,RINCLE 東京稲城矢ノ口駅店 / スペシャライズド 稲城,東京都稲城市矢野口305-1,ロードバイク,49サイズ（158cm~165cm）,3850,5500,8800,13200,22000,30800,44000,
SPECIALIZED,ALLEZ CUES 2×10SPEED,,貸出可能,RINCLE 東京稲城矢ノ口駅店 / スペシャライズド 稲城,東京都稲城市矢野口305-1,ロードバイク,52サイズ（165cm~175cm）,3850,5500,8800,13200,22000,30800,44000,
SPECIALIZED,ALLEZ CUES 2×10SPEED,,貸出可能,RINCLE 東京稲城矢ノ口駅店 / スペシャライズド 稲城,東京都稲城市矢野口305-1,ロードバイク,56サイズ（175cm~182cm）,3850,5500,8800,13200,22000,30800,44000,
SPECIALIZED,Tarmac SL7 Sport 2x12SPEED,,貸出可能,RINCLE 東京稲城矢ノ口駅店 / スペシャライズド 稲城,東京都稲城市矢野口305-1,ロードバイク,52サイズ（165cm~175cm）,5000,8000,12001,17000,28000,,,
SPECIALIZED,Roubaix SL8 Sport,,貸出可能,RINCLE 東京稲城矢ノ口駅店 / スペシャライズド 稲城,東京都稲城市矢野口305-1,ロードバイク,54サイズ（170cm~178cm）,5000,8000,12001,17000,28000,,,
SPECIALIZED,ALLEZ COMP,,貸出可能,RINCLE 東京西新宿駅店/スペシャライズド CPO,東京都新宿区西新宿6-26-3,ロードバイク,49cm(160cm~165cm),3500,4800,7500,10000,16000,,,
SPECIALIZED,ALLEZ SPORT,,貸出可能,RINCLE 東京西新宿駅店/スペシャライズド CPO,東京都新宿区西新宿6-26-3,ロードバイク,52cm(166cm~172cm),3500,4800,7500,10000,16000,,,
SPECIALIZED,ROUBAIX SPORT,,貸出可能,RINCLE 東京西新宿駅店/スペシャライズド CPO,東京都新宿区西新宿6-26-3,ロードバイク,52cm (166cm~172cm),5000,8000,12001,17000,28000,,,
SPECIALIZED,ROUBAIX SL8 SPORT,,メンテナンス中,RINCLE 東京西新宿駅店/スペシャライズド CPO,東京都新宿区西新宿6-26-3,ロードバイク,54cm (173cm~178cm),5000,8000,12001,17000,28000,,,
TREK,ONE SERIES 1.2 SORA 2×9SPEED,,貸出可能,RINCLE 東京広尾駅店/BICIAMORE 南麻布店,東京都港区南麻布4-13-7 シルク南麻布1階,ロードバイク,M（162cm~169cm）,3850,5500,8800,13200,22000,,,~10日間 ¥30800
FUJI,BARRACUDA R TIAGRA 2×10SPEED,,貸出可能,RINCLE 東京広尾駅店/BICIAMORE 南麻布店,東京都港区南麻布4-13-7 シルク南麻布1階,ロードバイク,L（172cm~178cm）,3850,5500,8800,13200,22000,30800,44000,
ANCHOR,RA700 105 2×10SPEED,,貸出可能,RINCLE 東京広尾駅店/BICIAMORE 南麻布店,東京都港区南麻布4-13-7 シルク南麻布1階,ロードバイク,S（150cm~160cm）,3850,5500,8800,13200,22000,30800,44000,
BROMPTON,BROMPTON M6R,,貸出可能,RINCLE 東京世田谷用賀店/LORO SETAGAYA,東京都世田谷区上用賀3-7-8,ミニベロ/折りたたみ,フリーサイズ,2000,3300,4800,6400,9600,15200,23200,
Tyrell,FSX,,貸出可能,RINCLE 東京世田谷用賀店/LORO SETAGAYA,東京都世田谷区上用賀3-7-8,ミニベロ/折りたたみ,-,4000,6400,9600,13600,22400,28800,51200,
BROMPTON,C Line S2L,,貸出可能,RINCLE 東京三越駅前店/LORO SLOW SPOT (レンタル車体準備中）,東京都中央区日本橋室町1-9-9,ミニベロ/折りたたみ,フリー,3850,5500,9900,12400,13500,15500,18000,
BROMPTON,C Line S6L,,メンテナンス中,RINCLE 東京三越駅前店/LORO SLOW SPOT (レンタル車体準備中）,東京都中央区日本橋室町1-9-9,ミニベロ/折りたたみ,フリー,3850,5500,9900,12400,13500,15500,18000,
FELT,F85 SORA  2×9 SPEED,,貸出可能,RINCLE 東京立川駅店/BICIAMORE 立川店,東京都立川市柴崎町2丁目2-19 カトービル1階,ロードバイク,S,3850,5500,8800,13200,22000,30800,44000,
