ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
BROMPTON,G Line,,貸出可能,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,S(152~168cm),4400,6600,11000,13999,15999,18000,23999,
BROMPTON,T Line M12L,,貸出可能,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,5500,7700,12999,15999,19000,21000,28000,
BROMPTON,C line M6R,,貸出可能,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3465,4950,8910,11159,10799,12400,14400,
BROMPTON,C Line M2L,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3465,4950,8910,11159,10799,12400,14400,
BROMPTON,C Line S6L,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
BROMPTON,C Line M6R,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
BROMPTON,C Line M4L,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
BROMPTON,C Line M12R,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
BROMPTON,P Line M4L,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,4400,6600,11000,13999,15999,18000,23999,
BROMPTON,P Line M12L,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,4400,6600,11000,13999,15999,18000,23999,
birdy,Classic EVO,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,4400,6600,11000,13999,15999,18000,23999,
birdy,standard,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
DAHON,K3,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3465,4950,8910,11159,10799,12400,14400,
DAHON,K3,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
DAHON,K9X,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
DAHON,Speed Falco,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
DAHON,Deftar TX,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
tern,Verge N8,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
tern,Verge P10,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
tyrell,IVE,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
tyrell,Fxα,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
KHS,F-20RC,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
KHS,P-20R,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
iruka,iruka S,,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3465,4950,8910,11159,10799,12400,14400,
DAHON,K-Forth,e-bike,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
tern,Vektron N8,e-bike,メンテナンス中,RINCLE 神奈川横浜桜木町駅店/LORO CYCLEWORKS YOKOHAMA,神奈川県横浜市中区尾上町5-77 吉住ビル1F,ミニベロ/折りたたみ,-,3850,5500,9900,12400,13500,15500,18000,
