ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
SPECIALIZED,AETHOS 2 PRO - SHIMANO ULTEGRA DI2,,貸出可能,RINCLE 名鉄東岡崎駅店 / スペシャライズド 岡崎,愛知県岡崎市上明大寺町2丁目14-8 オトリバーサイドテラス 1F,ロードバイク,49,4950,7700,13200,17600,29700,,,
SPECIALIZED,TARMAC SL8 COMP - SRAM RIVAL AXS,,貸出可能,RINCLE 名鉄東岡崎駅店 / スペシャライズド 岡崎,愛知県岡崎市上明大寺町2丁目14-8 オトリバーサイドテラス 1F,ロードバイク,52,4950,7700,13200,17600,29700,,,
SPECIALIZED,ALLEZ COMP,,貸出可能,RINCLE 名鉄東岡崎駅店 / スペシャライズド 岡崎,愛知県岡崎市上明大寺町2丁目14-8 オトリバーサイドテラス 1F,ロードバイク,52,3850,5500,8800,13200,22000,30800,44000,
SPECIALIZED,ROUBAIX SL8 SPORT 105,,貸出可能,RINCLE 名鉄東岡崎駅店 / スペシャライズド 岡崎,愛知県岡崎市上明大寺町2丁目14-8 オトリバーサイドテラス 1F,ロードバイク,49,4950,7700,13200,17600,29700,,,
SPECIALIZED,S-WORKS AETHOS SRAM RED AXS,,貸出可能,RINCLE 名鉄東岡崎駅店 / スペシャライズド 岡崎,愛知県岡崎市上明大寺町2丁目14-8 オトリバーサイドテラス 1F,ロードバイク,54,6600,9900,17600,25300,29700,,,
SPECIALIZED,ALLEZ SPRINT COMP,,貸出可能,RINCLE 名鉄東岡崎駅店 / スペシャライズド 岡崎,愛知県岡崎市上明大寺町2丁目14-8 オトリバーサイドテラス 1F,ロードバイク,49,3850,5500,8800,13200,22000,30800,44000,
SPECIALIZED,VADO SL 2 4.0,e-bike,貸出可能,RINCLE 名鉄東岡崎駅店 / スペシャライズド 岡崎,愛知県岡崎市上明大寺町2丁目14-8 オトリバーサイドテラス 1F,クロスバイク,S,3850,7150,11000,15400,25300,,,
SPECIALIZED,EPIC 8 COMP,,メンテナンス中,RINCLE 名鉄東岡崎駅店 / スペシャライズド 岡崎,愛知県岡崎市上明大寺町2丁目14-8 オトリバーサイドテラス 1F,マウンテンバイク,S,4950,7700,13200,17600,29700,49500,71500,
SPCIALIZED,SIRRUS X 3.0,,貸出可能,RINCLE 名古屋名城公園駅店 / スペシャライズド 名城,愛知県名古屋市北区名城,クロスバイク,S,2200,3300,6600,9900,23100,,,
SPCIALIZED,ROCKHOPPER COMP,,貸出可能,RINCLE 名古屋名城公園駅店 / スペシャライズド 名城,愛知県名古屋市北区名城,マウンテンバイク,S,3300,5500,11000,16500,38500,,,
