ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
SPECIALIZED,VADO SL 5.0 EQ 2,e-bike,貸出可能,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,クロスバイク,S(155~165cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,VADO SL 4.0,e-bike,貸出可能,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,クロスバイク,M(165~178cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,VADO SL5.0,e-bike,貸出可能,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,クロスバイク,S(155~165cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,VADO SL5.0,e-bike,貸出可能,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,クロスバイク,M(165~178cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,VADO SL5.0,e-bike,貸出可能,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,クロスバイク,L(178~185cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,AETHOS 2 EXPERT - SHIMANO ULTEGRA DI2,,貸出可能,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,ロードバイク,52(163~170cm),4950,7700,13200,,,,,
SPECIALIZED,S-WORKS TARMAC SL8 - SRAM RED AXS,,貸出可能,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,ロードバイク,52(163~170),6600,9900,,,,,,
SPECIALIZED,AETHOS 2 EXPERT - SHIMANO ULTEGRA DI2,,貸出可能,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,ロードバイク,49(155~163cm),5000,8000,12001,,,,,
SPECIALIZED,ROUBAIX COMP RIVAL AXS,,貸出可能,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,ロードバイク,52(163~170cm),5000,8000,12001,,,,,
SPECIALIZED,AETHOS 2 COMP - SHIMANO 105 DI2,,貸出可能,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,ロードバイク,54(170~175cm),5000,8000,,,,,,
SPECIALIZED,VADO SL 2 4.0,e-bike,貸出可能,RINCLE 京都西京極駅店 / スペシャライズド京都,京都府京都市右京区西京極新田町21,クロスバイク,M(165~178cm),3850,7150,11000,15400,25300,39600,53900,
BROMTPON,Pline　M12L,,貸出可能,RINCLE 京都北大路駅店/LORO CYCLEWORKS KYOTO,京都府京都市北区小山北玄以町14-6,ミニベロ/折りたたみ,170,4400,6600,,,,,,
BROMTPON,Cline　M6L,,貸出可能,RINCLE 京都北大路駅店/LORO CYCLEWORKS KYOTO,京都府京都市北区小山北玄以町14-6,ミニベロ/折りたたみ,170,3850,5500,,,,,,
BROMTPON,S2L,,貸出可能,RINCLE 京都北大路駅店/LORO CYCLEWORKS KYOTO,京都府京都市北区小山北玄以町14-6,ミニベロ/折りたたみ,170,3850,5500,,,,,,
