ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
TREK,FX 2 Stepover Gen 4,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,クロスバイク,XS (147~155cm),2200,4400,,,,,,
TREK,FX 3 Stepover Gen 4,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,クロスバイク,M（165~175ｃｍ）,2200,4400,,,,,,
TREK,FX 3 Stepover Gen 4,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,クロスバイク,L（175~186ｃｍ）,2200,4400,,,,,,
TREK,Precaliber 16,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,キッズ,16インチ（99~117ｃｍ）,2200,4400,,,,,,
TREK,Precaliber 20 7-speed,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,キッズ,20インチ（114~132ｃｍ）,2200,4400,,,,,,
TREK,Precaliber24-8-speed,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,キッズ,24インチ（130~150ｃｍ）,2200,4400,,,,,,
TREK,Domane AL 4 Gen 4,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,ロードバイク,49サイズ（156~165ｃｍ）,3300,5500,,,,,,
TREK,Madone SL 6 Gen 8,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,ロードバイク,Mサイズ（166~177ｃｍ）,5500,8800,,,,,,
TREK,Madone SLR 9 Gen 8,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,ロードバイク,Mサイズ（166~177ｃｍ）,7000,12100,,,,,,
TREK,Boone 5,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,ロードバイク,54サイズ（172~177ｃｍ）,5500,8800,,,,,,
TREK,Supercaliber 9.7 Gen 1,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,マウンテンバイク,M/Lサイズ（173~180ｃｍ）,5500,8800,,,,,,
TREK,Marlin 5 Gen 3,,貸出可能,RINCLE 大阪南河内店/BICYCLE STEP,大阪府富田林市甲田3丁目9-5,マウンテンバイク,Mサイズ（165~177ｃｍ）,2200,4400,,,,,,
SPECIALIZED,S-WORKS AETHOS 2 Di2,,貸出可能,RINCLE 大阪住之江店/スペシャライズド住之江,大阪府大阪市住之江区新北島5丁目2-1,ロードバイク,54(172cm~177cm),7000,12100,16000,,,,,
SPECIALIZED,TARMAC PRO eTAP,,貸出可能,RINCLE 大阪住之江店/スペシャライズド住之江,大阪府大阪市住之江区新北島5丁目2-1,ロードバイク,54(172cm~177cm),7000,12100,16000,,,,,
SPECIALIZED,AETHOS  EXPERT FORCE AXS,,貸出可能,RINCLE 大阪住之江店/スペシャライズド住之江,大阪府大阪市住之江区新北島5丁目2-1,ロードバイク,52(165cm~176cm),7000,12100,16000,,,,,
SPECIALIZED,TARMAC  SL7 COMP,,貸出可能,RINCLE 大阪住之江店/スペシャライズド住之江,大阪府大阪市住之江区新北島5丁目2-1,ロードバイク,52(165cm~176cm),5000,8000,12001,17000,28000,36000,,
SPECIALIZED,AETHOS COMP RIVAL eTAP,,貸出可能,RINCLE 大阪住之江店/スペシャライズド住之江,大阪府大阪市住之江区新北島5丁目2-1,ロードバイク,56(177cm~184cm),5000,8000,12001,17000,28000,36000,,
SPECIALIZED,ROUBAIX  COMP,,貸出可能,RINCLE 大阪住之江店/スペシャライズド住之江,大阪府大阪市住之江区新北島5丁目2-1,ロードバイク,54(172cm~177cm),5000,8000,12001,17000,28000,36000,,
SPECIALIZED,CREO 2 COMP,e-bike,貸出可能,RINCLE 大阪住之江店/スペシャライズド住之江,大阪府大阪市住之江区新北島5丁目2-1,ロードバイク,52(165cm~176cm),5000,8000,12100,17000,28000,,,
SPECIALIZED,CRUX DSW COMP,,貸出可能,RINCLE 大阪住之江店/スペシャライズド住之江,大阪府大阪市住之江区新北島5丁目2-1,ロードバイク,52(165cm~176cm),3500,4800,7500,10000,16000,26000,,
SPECIALIZED,VADO SL2 4.0 STEP THROUGH,e-bike,貸出可能,RINCLE 大阪住之江店/スペシャライズド住之江,大阪府大阪市住之江区新北島5丁目2-1,クロスバイク,S（155cm~165cm）,3999,5500,8499,12100,17999,29999,,
SPECIALIZED,VADO SL4.0,e-bike,貸出可能,RINCLE 箕面稲店 / スペシャライズド箕面,大阪府箕面市稲2丁目2-37,クロスバイク,S (身長155cm~165cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,VADO SL5.0,e-bike,貸出可能,RINCLE 箕面稲店 / スペシャライズド箕面,大阪府箕面市稲2丁目2-37,クロスバイク,M (身長165cm~178cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,VADO SL5.0,e-bike,貸出可能,RINCLE 箕面稲店 / スペシャライズド箕面,大阪府箕面市稲2丁目2-37,クロスバイク,L (身長178cm~185cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,TARMAC SL7 SPORT,,貸出可能,RINCLE 箕面稲店 / スペシャライズド箕面,大阪府箕面市稲2丁目2-37,ロードバイク,49 (身長155cm~163cm),4950,7700,13200,17600,29700,49500,71500,
SPECIALIZED,S-WORKS AETHOS 2 - SRAM RED AXS,,貸出可能,RINCLE 箕面稲店 / スペシャライズド箕面,大阪府箕面市稲2丁目2-37,ロードバイク,54 （身長170㎝~175㎝）,6600,9900,,,,,,
SPECIALIZED,DIVERGE E5 COMP,,貸出可能,RINCLE 箕面稲店 / スペシャライズド箕面,大阪府箕面市稲2丁目2-37,ロードバイク,52 (163~170cm),3850,5500,8800,13200,22000,30800,44000,
tern,Vektron S10,e-bike,メンテナンス中,RINCLE 大阪北浜駅店/LORO CYCLEWORKS (レンタル車体準備中）,大阪府大阪市中央区東高麗橋4-7 ミュー高麗橋1F,ミニベロ/折りたたみ,147cm~195cm,4400,6600,11000,13999,15999,18000,23999,
birdy,AIR,,メンテナンス中,RINCLE 大阪北浜駅店/LORO CYCLEWORKS (レンタル車体準備中）,大阪府大阪市中央区東高麗橋4-7 ミュー高麗橋1F,ミニベロ/折りたたみ,145cm~,3465,4950,8910,11159,10799,12400,14400,
BROMPTON,C Line Explore(6速)-S6L,,メンテナンス中,RINCLE 大阪北浜駅店/LORO CYCLEWORKS (レンタル車体準備中）,大阪府大阪市中央区東高麗橋4-7 ミュー高麗橋1F,ミニベロ/折りたたみ,145cm~,4400,6600,11000,13999,15999,18000,23999,
DAHON,K3,,メンテナンス中,RINCLE 大阪北浜駅店/LORO CYCLEWORKS (レンタル車体準備中）,大阪府大阪市中央区東高麗橋4-7 ミュー高麗橋1F,ミニベロ/折りたたみ,142cm~180cm,3465,4950,8910,11159,10799,12400,14400,
BROMPTON,G Line Neked,,メンテナンス中,RINCLE 大阪北浜駅店/LORO CYCLEWORKS (レンタル車体準備中）,大阪府大阪市中央区東高麗橋4-7 ミュー高麗橋1F,ミニベロ/折りたたみ,Small 152cm~168cm,5500,7700,12999,15999,19000,21000,28000,
