ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
TREK,FX3,,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,クロスバイク,M(165~175cm),2500,4000,6000,8000,12100,19000,29000,
TREK,MADONE SLR,,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,M(166-177cm),6600,9900,17600,25300,29700,,,スクショでは〜7日間まで表示（14/30日間は見切れの可能性）
TREK,Domana AL2 Gen4,,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,44(150cm~156cm),3850,5500,8800,13200,22000,31900,40700,モデル名はサイト表記のまま（Domana=Domaneの誤記か）
TREK,DOMANE AL 2 Gen4,,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,52(166cm~172cm),3500,4800,7500,10000,16000,26000,36000,
TREK,DOMANE SL5,,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,52(165cm~176cm),4950,7700,13200,17600,29700,49500,71500,
TREK,Madone SL 5,,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,ML(177cm~184cm),5000,8000,12001,17000,28000,,,料金は〜7日間まで（2日間¥12,001はサイト表記のまま）
TREK,Madone SL 5,,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,S(162cm~166cm),5000,8000,12100,17000,28000,,,料金は〜7日間まで
TREK,Domane+ AL 5,e-bike,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,54(172cm~177cm),5500,7700,12100,18700,27500,44000,60500,黒系カラー
TREK,Domane+ AL 5,e-bike,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,54(172cm~177cm),5500,7700,12100,18700,27500,44000,60500,赤カラー（同一スペックで別掲載）
TREK,Marlin+ 6,e-bike,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,マウンテンバイク,M(165cm~177cm),4950,7700,13200,17600,29700,49500,71500,
SPECIALIZED,VADO SL 5.0 EQ 2,e-bike,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,クロスバイク,S(155cm~165cm),3850,7150,11000,15400,25300,,,最終行が「〜10日間 ¥39,600」表記（14/30日間なし・サイト側の入力ミスか）
SPECIALIZED,S-Works Tarmac SL8 SRAM RED AXS,,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,52(165~170cm),6600,9900,17600,25300,29700,63800,104500,
SPECIALIZED,VADO SL 4.0 STEP THROUGH,e-bike,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,クロスバイク,S(155cm~165cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,AETHOS 2 PRO - SRAM FORCE AXS,,貸出可能,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,52(163cm~170cm),6600,9900,17600,25300,29700,63800,104500,
TREK,Madone SL 5,,メンテナンス中,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,M(166cm~177cm),5000,8000,11999,17000,28000,,,料金は〜7日間まで（2日間¥11,999はサイト表記のまま）
SPECIALIZED,S-WORKS TARMAC SL8,,メンテナンス中,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,54(170cm~175cm),6600,9900,17600,25300,29700,63800,104500,
SPECIALIZED,S-WORKS TARMAC SL8 eTAP,,メンテナンス中,RINCLE 尼崎西昆陽店 / THE EARTH BIKES,兵庫県尼崎市西昆陽2-2-32,ロードバイク,52,7000,12100,16000,,,,,料金は2日間まで
SPECIALIZED,VADO SL 5.0,e-bike,貸出可能,RINCLE 神戸駅店 / スペシャライズド神戸,兵庫県神戸市中央区相生町2丁目1-337,クロスバイク,S(155~165cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,VADO SL2 5.0,e-bike,貸出可能,RINCLE 神戸駅店 / スペシャライズド神戸,兵庫県神戸市中央区相生町2丁目1-337,クロスバイク,S(155~165cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,S-Works Tarmac SL9(3時間貸のみ),,貸出可能,RINCLE 神戸駅店 / スペシャライズド神戸,兵庫県神戸市中央区相生町2丁目1-337,ロードバイク,52(163~170),6600,9900,,,,,,モデル名に「3時間貸のみ」表記だが料金は1日まで掲載
SPECIALIZED,Aethos 2 Expert UDi2,,貸出可能,RINCLE 神戸駅店 / スペシャライズド神戸,兵庫県神戸市中央区相生町2丁目1-337,ロードバイク,54(170~175),4950,7700,13200,17600,29700,49500,,料金は〜14日間まで（30日間の掲載なし）
SPECIALIZED,AETHOS PRO UDI2,,貸出可能,RINCLE 神戸駅店 / スペシャライズド神戸,兵庫県神戸市中央区相生町2丁目1-337,ロードバイク,49(155~163),4950,7700,13860,,,,,料金は2日間まで
SPECIALIZED,VADO SL2 4.0 Non-EQ,e-bike,貸出可能,RINCLE 神戸駅店 / スペシャライズド神戸,兵庫県神戸市中央区相生町2丁目1-337,クロスバイク,L(178~185cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,ROUBAIX SL8 Tiagra,,貸出可能,RINCLE 神戸駅店 / スペシャライズド神戸,兵庫県神戸市中央区相生町2丁目1-337,ロードバイク,44(142~152cm),4950,7700,13860,,,,,料金は2日間まで
SPECIALIZED,TARMAC SL8 COMP SRAM RIVAL AXS,,貸出可能,RINCLE 神戸駅店 / スペシャライズド神戸,兵庫県神戸市中央区相生町2丁目1-337,ロードバイク,49(155~163cm),4950,7700,13200,17600,29700,49500,71500,
SPECIALIZED,TARMAC SL8 COMP - SHIMANO 105 DI2,,貸出可能,RINCLE 神戸駅店 / スペシャライズド神戸,兵庫県神戸市中央区相生町2丁目1-337,ロードバイク,52(163~170),4950,7700,13200,17600,29700,49500,71500,
