ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
cannondale,topstorn 4 AL,,貸出可能,RINCLE 奈良公園店 / cycle shop Re Belle.,奈良県奈良市川上町439-3,ロードバイク,XS (155~165cm),3850,5500,8800,13200,22000,,,
cannondale,topstorn 4 AL,,貸出可能,RINCLE 奈良公園店 / cycle shop Re Belle.,奈良県奈良市川上町439-3,ロードバイク,S (160~175cm),3850,5500,8800,13200,22000,,,
cannondale,topstorn 4 AL,,貸出可能,RINCLE 奈良公園店 / cycle shop Re Belle.,奈良県奈良市川上町439-3,ロードバイク,M (170~180cm),3850,5500,8800,13200,22000,,,
cannondale,CAAD13 Disk 105,,貸出可能,RINCLE 奈良公園店 / cycle shop Re Belle.,奈良県奈良市川上町439-3,ロードバイク,44（155~165cm）,3850,5500,8800,13200,22000,,,
cannondale,synapse3 AL,,貸出可能,RINCLE 奈良公園店 / cycle shop Re Belle.,奈良県奈良市川上町439-3,ロードバイク,54（170~180cm）,3850,5500,8800,13200,22000,,,
RIDLEY,FENIX,,貸出可能,RINCLE 奈良公園店 / cycle shop Re Belle.,奈良県奈良市川上町439-3,ロードバイク,S（165~175cm）,6600,9900,17600,25300,29700,,,
cannondale,habit carbon,,貸出可能,RINCLE 奈良公園店 / cycle shop Re Belle.,奈良県奈良市川上町439-3,マウンテンバイク,M（163~175cm）,4950,7700,13200,17600,29700,,,
cannondale,Quick NEO,e-bike,貸出可能,RINCLE 奈良公園店 / cycle shop Re Belle.,奈良県奈良市川上町439-3,クロスバイク,M（163~175cm）,3850,7150,11000,15400,25300,,,
MATE Bike,Fusion 2.0,,貸出可能,RINCLE 奈良公園店 / cycle shop Re Belle.,奈良県奈良市川上町439-3,ミニベロ/折りたたみ,Free,3850,7150,11000,15400,25300,,,
cannondale,Topstone NEO 5,e-bike,メンテナンス中,RINCLE 奈良公園店 / cycle shop Re Belle.,奈良県奈良市川上町439-3,ロードバイク,S（163~175cm）,5500,7700,12100,18700,27500,,,
TREK,Madone SL5 Gen8,,貸出可能,RINCLE 奈良登美ヶ丘駅前店 / バイシクルカラー奈良登美ヶ丘店,奈良県奈良市中登美ヶ丘六丁目3-7リコラス登美ヶ丘B-102,ロードバイク,M (166 - 177 cm),4950,7700,,,,,,
TREK,Domane AL 5 Gen5,,貸出可能,RINCLE 奈良登美ヶ丘駅前店 / バイシクルカラー奈良登美ヶ丘店,奈良県奈良市中登美ヶ丘六丁目3-7リコラス登美ヶ丘B-102,ロードバイク,52cm (166 - 172 cm),3850,5500,,,,,,
TREK,FX 3 Gen4,,貸出可能,RINCLE 奈良登美ヶ丘駅前店 / バイシクルカラー奈良登美ヶ丘店,奈良県奈良市中登美ヶ丘六丁目3-7リコラス登美ヶ丘B-102,クロスバイク,L (175 - 186 cm),3300,6050,,,,,,
TREK,FX 2 Gen4,,貸出可能,RINCLE 奈良登美ヶ丘駅前店 / バイシクルカラー奈良登美ヶ丘店,奈良県奈良市中登美ヶ丘六丁目3-7リコラス登美ヶ丘B-102,クロスバイク,M (165 - 175 cm),3300,6050,,,,,,
TREK,FX 1 Gen4,,貸出可能,RINCLE 奈良登美ヶ丘駅前店 / バイシクルカラー奈良登美ヶ丘店,奈良県奈良市中登美ヶ丘六丁目3-7リコラス登美ヶ丘B-102,クロスバイク,L (175 - 186 cm),3300,3850,,,,,,
TREK,Madone SL6 Gen8,,メンテナンス中,RINCLE 奈良登美ヶ丘駅前店 / バイシクルカラー奈良登美ヶ丘店,奈良県奈良市中登美ヶ丘六丁目3-7リコラス登美ヶ丘B-102,ロードバイク,M (166 - 177 cm),4950,7700,,,,,,
