ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
SPECIALIZED,Sirrrus X 2.0,,貸出可能,RINCLE 岡山西川原駅店 / cycle shop Freedom,岡山県岡山市中区竹田15-1,クロスバイク,XS(150cm~157cm),3300,4400,5500,8250,15400,24200,38500,
SPECIALIZED,Vado SL 4.0,e-bike,貸出可能,RINCLE 岡山西川原駅店 / cycle shop Freedom,岡山県岡山市中区竹田15-1,クロスバイク,S(155cm~165cm),3850,7150,11000,15400,25300,39600,53900,
SPECIALIZED,Roubaix SL8,,貸出可能,RINCLE 岡山西川原駅店 / cycle shop Freedom,岡山県岡山市中区竹田15-1,ロードバイク,44(142cm~152cm),4950,7700,13200,17600,29700,49500,71500,
SPECIALIZED,Tarmac SL8 Comp,,貸出可能,RINCLE 岡山西川原駅店 / cycle shop Freedom,岡山県岡山市中区竹田15-1,ロードバイク,49(155cm~163cm),6600,9900,17600,25300,29700,63800,104500,
SPECIALIZED,Roubaix SL8 Comp,,貸出可能,RINCLE 岡山西川原駅店 / cycle shop Freedom,岡山県岡山市中区竹田15-1,ロードバイク,52(163cm~170cm),4950,7700,13200,17600,29700,49500,71500,
SPECIALIZED,Allez,,貸出可能,RINCLE 岡山西川原駅店 / cycle shop Freedom,岡山県岡山市中区竹田15-1,ロードバイク,49(155cm~163cm),3850,5500,8800,13200,22000,30800,44000,
CANNONDALE,Topstone 2,,貸出可能,RINCLE 岡山西川原駅店 / cycle shop Freedom,岡山県岡山市中区竹田15-1,ロードバイク,XS(147cm~165cm),3850,5500,8800,13200,22000,30800,44000,
SPECIALIZED,Chisel HT,,貸出可能,RINCLE 岡山西川原駅店 / cycle shop Freedom,岡山県岡山市中区竹田15-1,マウンテンバイク,S(157cm~165cm),3850,6600,8800,13200,22000,30800,44000,
BRUNO,MIXTE,,貸出可能,RINCLE 岡山西川原駅店 / cycle shop Freedom,岡山県岡山市中区竹田15-1,ミニベロ/折りたたみ,410mm,2000,3300,4800,6400,9600,15200,23200,
SPECIALIZED,Vado SL 4.0 EQ,e-bike,メンテナンス中,RINCLE 岡山西川原駅店 / cycle shop Freedom,岡山県岡山市中区竹田15-1,クロスバイク,S(155cm~165cm),3850,7150,11000,15400,25300,53900,115500,
TREK,FX3,,貸出可能,RINCLE 岡山上中野店 / WAVE BIKES 岡山店,岡山県岡山市北区上中野2-28-15,クロスバイク,M,3300,4400,5500,8250,15400,24200,38500,
TREK,FX Sport4,,貸出可能,RINCLE 岡山上中野店 / WAVE BIKES 岡山店,岡山県岡山市北区上中野2-28-15,クロスバイク,S,3300,6050,9350,11550,20900,33000,49500,
TREK,Domane AL 2,,貸出可能,RINCLE 岡山上中野店 / WAVE BIKES 岡山店,岡山県岡山市北区上中野2-28-15,ロードバイク,52,3850,5500,8800,13200,22000,30800,44000,
TREK,Domane AL 4,,貸出可能,RINCLE 岡山上中野店 / WAVE BIKES 岡山店,岡山県岡山市北区上中野2-28-15,ロードバイク,52,3850,5500,8800,13200,22000,30800,44000,
TREK,Allant+ 8,e-bike,貸出可能,RINCLE 岡山上中野店 / WAVE BIKES 岡山店,岡山県岡山市北区上中野2-28-15,クロスバイク,M,3850,7150,11000,15400,25300,39600,53900,
TREK,Madone SL 6,,メンテナンス中,RINCLE 岡山上中野店 / WAVE BIKES 岡山店,岡山県岡山市北区上中野2-28-15,ロードバイク,S,4950,7700,13200,17600,29700,49500,71500,
TREK,Madone SL 5,,メンテナンス中,RINCLE 岡山上中野店 / WAVE BIKES 岡山店,岡山県岡山市北区上中野2-28-15,ロードバイク,M,4950,7700,13200,17600,29700,49500,71500,
TREK,Madone SL 5,,貸出可能,RINCLE 岡山総社店 / WAVE BIKES 総社店,岡山県総社市中央4丁目1-103,ロードバイク,M,4950,7700,13200,17600,29700,49500,71500,
cannondale,Synapse carbon 3L,,貸出可能,RINCLE 岡山総社店 / WAVE BIKES 総社店,岡山県総社市中央4丁目1-103,ロードバイク,48,4950,7700,13200,17600,29700,49500,71500,
TREK,Emonda ALR 5,,貸出可能,RINCLE 岡山総社店 / WAVE BIKES 総社店,岡山県総社市中央4丁目1-103,ロードバイク,47,3850,5500,8800,13200,22000,30800,44000,
TREK,Checkpoint SL 5,,貸出可能,RINCLE 岡山総社店 / WAVE BIKES 総社店,岡山県総社市中央4丁目1-103,ロードバイク,S,4950,7700,13200,17600,29700,49500,71500,
PINARELLO,DOGMA F,,メンテナンス中,RINCLE 岡山総社店 / WAVE BIKES 総社店,岡山県総社市中央4丁目1-103,ロードバイク,515,7000,12100,16000,27000,42000,60000,120000,
