ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
Daytona,DE01S,e-bike,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185cm,2640,5500,9900,12400,13500,15500,18000,
Daytona,DE01S,e-bike,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185cm,3850,5500,9900,12400,13500,15500,18000,
Daytona,DE01S,e-bike,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185cm,3850,5500,9900,12400,13500,15500,18000,
Daytona,DE01S,e-bike,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185cm,3850,5500,9900,12400,13500,15500,18000,
Daytona,DE01S,e-bike,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185cm,3850,5500,9900,12400,13500,15500,18000,
Daytona,DE01S,e-bike,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185cm,3850,5500,9900,12400,13500,15500,18000,
Daytona,DE01S,e-bike,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185cm,3850,5500,9900,12400,13500,15500,18000,
DAHON,D-Zero,,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,142~180cm,1650,3300,5500,7700,9900,11000,16500,
DAHON,D-Zero,,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,142~180cm,1650,3300,5500,7700,9900,11000,16500,
iruka,iruka S,,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~180cm,3850,5500,9900,12400,13500,15500,18000,
iruka,iruka S,,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~180cm,3850,5500,9900,12400,13500,15500,18000,
tern,Vektron S10,e-bike,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,147~195 cm,3850,5500,9900,12400,13500,15500,18000,
tern,Vektron S10,e-bike,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,147~195 cm,3850,5500,9900,12400,13500,15500,18000,
Brompton,M6L,,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185 cm,3850,5500,9900,12400,13500,15500,18000,
Brompton,M6L,,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185cm,3850,5500,9900,12400,13500,15500,18000,
Brompton,M6L,,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185cm,3850,5500,9900,12400,13500,15500,18000,
Brompton,M6R,,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185cm,3850,5500,9900,12400,13500,15500,18000,
Brompton,M6R,,貸出可能,RINCLE広島尾道駅店/LORO CYCLEWORKS ONOMICHI,広島県尾道市土堂1-2-12 尾道商店街内,ミニベロ/折りたたみ,145~185cm,3850,5500,9900,12400,13500,15500,18000,
