ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
BROMPTON,T LINE,,貸出可能,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,ミニベロ/折りたたみ,16inch,4950,6930,11699,14400,15199,,,
BROMPTON,G LINE,,貸出可能,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,ミニベロ/折りたたみ,20inch,4950,6930,11699,14400,15199,,,
BROMPTON,P LINE,,貸出可能,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,ミニベロ/折りたたみ,16inch,4950,6930,11699,14400,15199,,,
BROMPTON,C LINE,,貸出可能,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,ミニベロ/折りたたみ,16inch,4950,6930,11699,14400,15199,,,
Birdy,Standard DISC,,貸出可能,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,ミニベロ/折りたたみ,18inch,4950,6930,11699,14400,15199,,,
Carry Me,Air,,貸出可能,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,ミニベロ/折りたたみ,8inch,4950,6930,11699,14400,15199,,,
Dahon,K9X,,貸出可能,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,ミニベロ/折りたたみ,16inch,4950,6930,11699,14400,15199,,,
Dahon,K3,,貸出可能,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,ミニベロ/折りたたみ,14inch,4950,6930,11699,14400,15199,,,
Dahon,K-Forth,e-bike,貸出可能,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,ミニベロ/折りたたみ,16inch,4950,6930,11699,14400,15199,,,
Tern,Vektron N8,e-bike,貸出可能,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,ミニベロ/折りたたみ,20inch,4950,6930,11699,14400,15199,,,
BESV,PSF2,e-bike,貸出可能,RINCLE愛媛松山市駅店/LORO CYCLEWORKS MATSUYAMA,愛媛県松山市三番町4丁目4-9 NAIKAIビル1F,ミニベロ/折りたたみ,20inch,4950,6930,11699,14400,15199,,,
TREK,Domane +AL5（電動アシストロードバイク）,e-bike,貸出可能,RINCLE 愛媛西条北店 / WINDS BIKES,愛媛県西条市喜多川808-1,ロードバイク,49(156-165cm),5500,7700,11000,15400,25300,39600,53900,
TREK,FX +2（電動アシストクロスバイク）,e-bike,貸出可能,RINCLE 愛媛西条北店 / WINDS BIKES,愛媛県西条市喜多川808-1,クロスバイク,S(155 - 165 cm),3850,7150,11000,15400,25300,39600,53900,
TREK,Domane AL4,,貸出可能,RINCLE 愛媛西条北店 / WINDS BIKES,愛媛県西条市喜多川808-1,ロードバイク,52（166 - 172 cm）,3850,6050,11000,13200,22000,30800,44000,
TREK,FX 3,,貸出可能,RINCLE 愛媛西条北店 / WINDS BIKES,愛媛県西条市喜多川808-1,クロスバイク,M（166 - 175 cm）,3300,3850,5500,8250,15400,24200,38500,
TREK,FX+ 2 Stagger（電動アシストクロスバイク）,e-bike,メンテナンス中,RINCLE 愛媛西条北店 / WINDS BIKES,愛媛県西条市喜多川808-1,クロスバイク,S（155~165㎝）,3850,7150,11000,15400,25300,39600,53900,
Brompton,M6L,,メンテナンス中,RINCLE 愛媛大三島店/ローロサイクルワークス R-HUB店 (レンタルバイク準備中）,愛媛県今治市大三島町宮浦231番地,ミニベロ/折りたたみ,フリー（145~185cm）,3850,5500,9900,12400,13500,15500,18000,
