ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
tern,Verge N8,,貸出可能,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,ミニベロ/折りたたみ,142cm~190cm,3850,5500,9900,12400,,,,
KOLiBRI,KOLiBRI,,貸出可能,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,ミニベロ/折りたたみ,140cm~180cm,3850,5500,9900,12400,,,,
BROMPTON,C Line Urban(4速) Mid,,貸出可能,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,ミニベロ/折りたたみ,145cm~,3850,5500,9900,12400,,,,
BROMPTON,C Line Explore(12速) Low,,貸出可能,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,ミニベロ/折りたたみ,145cm~,3850,5500,9900,12400,,,,
BROMPTON,P Line Exploer(12速)withRack Mid,,貸出可能,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,ミニベロ/折りたたみ,145cm~,4400,6600,11000,13999,,,,
tern,Vektron S10,e-bike,メンテナンス中,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,ミニベロ/折りたたみ,147cm~195cm,3600,4900,7700,10799,,,,
Besv,PSF-2,e-bike,メンテナンス中,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,ミニベロ/折りたたみ,153cm~,3850,5500,9900,12400,,,,
BROMPTON,C Line Explore(12速)withRack Mid,,メンテナンス中,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,ミニベロ/折りたたみ,145cm~,3850,5500,9900,12400,,,,
BROMPTON,T Line Urban(4速) Low,,メンテナンス中,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,ミニベロ/折りたたみ,145cm~,5500,7700,12999,15999,,,,
BROMPTON,T Line Explore(12速) Mid,,メンテナンス中,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,ミニベロ/折りたたみ,145cm~,5500,7700,12999,15999,,,,
BROMPTON,G Line Neked,,メンテナンス中,RINCLE福岡赤坂駅店/LORO CYCLEWORKS FUKUOKA,福岡県福岡市中央区大手門1-2-1 花房ビル1F,ミニベロ/折りたたみ,Small 152cm~168cm,4400,6600,11000,13999,,,,
FOCUS,IZALCO RACE AL 2×9SPEED,,メンテナンス中,RINCLE 福岡薬院駅店/BICIAMORE 福岡店,福岡県福岡市中央区薬院4-18-3 サニークレスト1階,ロードバイク,S（160㎝~167㎝）,3850,5500,8800,13200,22000,30800,44000,
GIANT,TCR SL2 2×9SPEED,,メンテナンス中,RINCLE 福岡薬院駅店/BICIAMORE 福岡店,福岡県福岡市中央区薬院4-18-3 サニークレスト1階,ロードバイク,L（174㎝~183㎝）,3850,5500,8800,13200,22000,30800,44000,
GIOS,FENICE 2×8SPEED,,メンテナンス中,RINCLE 福岡薬院駅店/BICIAMORE 福岡店,福岡県福岡市中央区薬院4-18-3 サニークレスト1階,ロードバイク,M（167㎝~173㎝）,3850,5500,8800,13200,22000,30800,44000,
