ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
Specialized,Tarmac SL8 105Di2,,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,ロードバイク,56（175cm~180cm）,4950,9900,19800,29700,69300,,,
Specialzied,Aethos2 Expert shimano Ultegra Di2,,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,ロードバイク,54（173cm~180cm）,4950,9900,19800,29700,69300,,,
Specialized,Roubaix SL8 Sport,,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,ロードバイク,49（155cm~163cm）,4950,9900,19800,29700,69300,,,
Specialized,Allez Sport,,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,ロードバイク,52（163cm~170cm）,4950,9900,19800,29700,69300,,,
Specialized,Allez Sport,,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,ロードバイク,54（170cm~178cm）,4950,9900,19800,29700,69300,,,
Specialzied,Sirrus X 4.0,,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,クロスバイク,M（165cm~175cm）,4950,9900,19800,29700,69300,,,
Specialzied,Sirrus X 2.0,,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,クロスバイク,S（155cm~165cm）,4950,9900,19800,29700,69300,,,
Specialized,Sirrus X 3.0,,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,クロスバイク,L（175cm~183cm）,4950,9900,19800,29700,69300,,,
Specialzied,Sirrus 3.0 ST,,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,クロスバイク,S（155cm~165cm）,4950,9900,19800,29700,69300,,,
Specialzied,Chisel Hardtail,,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,マウンテンバイク,M（165cm~178cm）,4950,9900,19800,29700,69300,,,
Specialzied,Status2 140,,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,マウンテンバイク,S2（157cm~173cm）,4950,9900,19800,29700,69300,,,
Specialzied,Levo SL Comp Carbon,e-bike,貸出可能,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,マウンテンバイク,S3（157cm~173cm）,6600,11000,22000,33000,77000,,,
Specialized,Vado SL 2 4.0 STEP-THROUGH EQ,e-bike,メンテナンス中,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,クロスバイク,S（155cm~165cm）,6600,11000,22000,33000,77000,,,
Specialized,Vado SL 2 4.0 Step-Through  EQ,e-bike,メンテナンス中,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,クロスバイク,S（155cm~165cm）,6600,11000,22000,33000,77000,,,
Specialized,Vado SL 2 4.0 EQ,e-bike,メンテナンス中,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,クロスバイク,M（165cm~178cm）,6600,11000,22000,33000,77000,,,
Specialized,Vado SL 2 4.0 EQ,e-bike,メンテナンス中,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,クロスバイク,L（178cm~185cm）,6600,11000,22000,33000,77000,,,
Specialized,Vado SL 2 4.0 EQ,e-bike,メンテナンス中,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,クロスバイク,L（178cm~185cm）,6600,11000,22000,33000,77000,,,
Specialized,Vado SL 2 5.0 EQ,e-bike,メンテナンス中,RINCLE 熊本駅店/スペシャライズド熊本,熊本県熊本市中央区細工町4丁目40-1 ヴィクトリーマンションKM1 1F,クロスバイク,M（165cm~178cm）,6600,11000,22000,33000,77000,,,
TREK,Domane AL 2 Gen 4,,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,ロードバイク,54（172 - 177 cm）,3300,6600,11000,16500,22000,30800,44000,
TREK,FX 3 Gen 4,,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,クロスバイク,M（165 - 175 cm）,2500,4000,6000,8000,12100,19000,29000,
TREK,FX+ 2,e-bike,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,クロスバイク,155 - 175cm,5000,8000,12100,17000,28000,36000,64000,
TREK,Madone SL 5 Gen 8,,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,ロードバイク,M（166 - 177 cm）,3300,9000,16000,20000,42000,,,
TREK,Checkpoint ALR 5 Gen 3,,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,ロードバイク,M（166 - 177 cm）,3300,7700,13200,17600,29700,49500,71500,
TREK,Domane AL 2 Gen 4,,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,ロードバイク,56（177 - 182 cm）,3300,6600,11000,16500,22000,30800,44000,
TREK,7.2FX,,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,クロスバイク,XS（147 - 155 cm）,2200,3600,5500,7200,10200,15500,22600,
TREK,FX1,,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,クロスバイク,S（155 - 165 cm）,2200,3600,5500,7200,10200,15500,22600,
TREK,Madone SL 5 Gen 8,,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,ロードバイク,S（162 - 166 cm）,3300,9000,16000,20000,42000,,,
TREK,Émonda S,,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,ロードバイク,47（156 - 161 cm）,4500,7200,10800,15400,23800,29500,49900,
TREK,"Precaliber 20""",,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,キッズ,20インチ（114 - 132 cm）,1200,1600,2000,2400,4000,11200,17600,
TREK,"Precaliber 24""",,貸出可能,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,キッズ,24インチ（130 - 150 cm）,1300,1800,2200,2700,4200,11400,17100,
TREK,FX+ 2 Stagger,e-bike,メンテナンス中,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,クロスバイク,155 - 175cm,3300,7150,12100,17000,28000,36000,64000,
TREK,Domane AL 2 Gen 4,,メンテナンス中,RINCLE 熊本南店 / しゃりんかん 浜線店,熊本県熊本市南区田井島2丁目10-7,ロードバイク,49（156 - 165 cm）,3300,6600,11000,16500,22000,30800,44000,
CUBE,ATTAIN GTC PRO,,貸出可能,RINCLE 熊本中央店/BEACH LINE BICYCLE,熊本県熊本市南区田迎6-1-42,ロードバイク,50(155~165ｃｍ),3300,9900,19800,29700,69300,,,
LOOK,785 HUEZ DISC,,貸出可能,RINCLE 熊本中央店/BEACH LINE BICYCLE,熊本県熊本市南区田迎6-1-42,ロードバイク,M(170~165ｃｍ),3300,9900,19800,29700,69300,,,
CANNONDALE,QUICK 3,,貸出可能,RINCLE 熊本中央店/BEACH LINE BICYCLE,熊本県熊本市南区田迎6-1-42,クロスバイク,M(170~165ｃｍ),2530,7700,15400,23100,53900,,,
BESV,PSA1,,貸出可能,RINCLE 熊本中央店/BEACH LINE BICYCLE,熊本県熊本市南区田迎6-1-42,ミニベロ/折りたたみ,20インチ(153cm-180cm),3300,9900,19800,29700,69300,,,
